age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
47,2,306183,15,10,0,7,3,0,1,0,0,44,38
26,2,303973,11,9,4,8,2,0,1,0,1602,15,25
26,2,301298,15,10,4,2,3,0,0,0,0,50,38
34,2,347166,15,10,2,0,0,0,0,0,0,40,38
22,2,314525,9,13,4,9,1,0,0,0,0,40,38
31,2,363130,11,9,4,7,4,1,0,0,0,18,38
35,1,433602,11,9,4,11,3,1,0,0,0,38,38
24,2,329530,6,5,2,11,0,0,0,0,0,45,25
47,1,319205,15,10,0,0,4,0,1,0,0,40,38
72,3,473748,15,10,2,3,0,0,0,0,0,25,38
27,2,660870,9,13,4,9,1,0,1,0,0,60,38
44,5,296326,9,13,4,0,1,0,0,0,0,40,38
32,4,337696,15,10,2,11,0,0,0,0,0,50,38
26,2,337940,4,3,4,13,1,0,0,0,0,40,25
18,4,454950,15,10,4,0,3,0,1,0,0,40,38
31,2,433788,15,10,2,13,0,0,0,0,0,40,38
42,2,297335,7,12,3,3,4,1,1,0,0,31,24
17,2,313444,2,8,4,11,3,0,1,0,0,20,38
28,2,410351,15,10,4,2,1,0,0,0,0,30,38
20,2,303565,15,10,4,5,3,1,0,0,0,40,10
22,2,362589,7,12,4,11,1,0,1,0,0,15,38
38,2,299810,11,9,2,5,0,1,0,0,0,40,38
47,1,336274,11,9,0,7,1,0,1,0,0,40,38
43,2,373403,8,11,2,2,0,0,0,0,0,40,38
20,2,291407,1,7,4,5,3,1,0,0,0,40,38
52,2,416129,13,1,2,7,1,0,0,0,0,40,7
21,2,348092,11,9,4,7,1,1,0,0,0,40,13
23,2,408988,15,10,4,0,4,0,1,0,0,38,38
23,2,343019,0,6,4,7,1,0,1,0,0,40,38
23,2,359759,11,9,4,2,3,1,0,0,0,40,29
36,1,382635,9,13,0,0,4,0,1,0,0,35,15
34,2,344073,11,9,5,0,1,0,0,0,0,40,38
24,2,303296,15,10,2,0,5,1,1,0,0,40,24
61,2,477209,5,4,2,4,0,0,0,0,0,54,38
