capital-gain,hours-per-week,educational-num,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
9107,-9.0,3.0,1058.32,1.0,1.0,1.0,0.0,0.2052
,,,,,,,,
8943,4.0,4.0,1063.63,1.0,1.0,1.0,0.0,0.1666
,,,,,,,,
9149,0.0,0.0,1070.62,1.0,1.0,1.0,0.0,0.0305
,,,,,,,,
7986,5.0,0.0,1069.86,1.0,1.0,1.0,0.0,0.0436
,,,,,,,,
10183,0.0,0.0,1073.04,1.0,1.0,1.0,0.0,0.0339
,,,,,,,,
7807,-7.0,3.0,1060.44,1.0,1.0,1.0,0.0,0.1941
,,,,,,,,
7623.0,-3.0,0.0,1071.07,1.0,1.0,1.0,0.0,0.0356
,,,,,,,,
8054,-3.0,5.0,1060.3,1.0,1.0,1.0,0.0,0.14
,,,,,,,,
9915,2.0,1.0,1062.57,1.0,1.0,1.0,0.0,0.2282
,,,,,,,,
9857,2.0,2.0,1060.55,1.0,1.0,1.0,0.0,0.2059
,,,,,,,,
8716,7.0,4.0,1061.31,1.0,1.0,1.0,0.0,0.176
,,,,,,,,
8608,10.0,6.0,1065.13,1.0,1.0,1.0,0.0,0.1462
,,,,,,,,
9763,4.0,1.0,1056.78,1.0,1.0,1.0,0.0,0.2345
,,,,,,,,
7357.0,2.0,0.0,1068.49,1.0,1.0,1.0,0.0,0.0313
,,,,,,,,
8096,8.0,0.0,1065.25,1.0,1.0,1.0,0.0,0.0541
,,,,,,,,
8101,0.0,13.0,1061.55,1.0,1.0,1.0,0.0,0.1074
,,,,,,,,
7810,4.0,1.0,1058.72,1.0,1.0,1.0,0.0,0.228
,,,,,,,,
9244,3.0,2.0,1057.76,1.0,1.0,1.0,0.0,0.2072
,,,,,,,,
7768,9.0,3.0,1057.8,1.0,1.0,1.0,0.0,0.2009
,,,,,,,,
7710.0,-5,5.0,1065.14,1.0,1.0,1.0,0.0,0.1456
,,,,,,,,
8575,-9.0,1.0,1058.04,1.0,1.0,1.0,0.0,0.2473
,,,,,,,,
8994,5.0,0.0,1070.97,1.0,1.0,1.0,0.0,0.0469
,,,,,,,,
8076,-2.0,2.0,1058.11,1.0,1.0,1.0,0.0,0.2
,,,,,,,,
9310,8.0,4.0,,,,,,
8506.0,0.0,5.0,1137.38,2.0,2.0,2.0,0.0,0.1564
,,,,,,,,
9410,13.0,6.0,1059.23,1.0,1.0,1.0,0.0,0.1591
,,,,,,,,
8671,8.0,2.0,1056.84,1.0,1.0,1.0,0.0,0.2223
,,,,,,,,
7866,8.0,1.0,1054.57,1.0,1.0,1.0,0.0,0.2417
,,,,,,,,
7169,3.0,0.0,1068.9,1.0,1.0,1.0,0.0,0.0341
,,,,,,,,
10254,1.0,9.0,1066.58,1.0,1.0,1.0,0.0,0.072
,,,,,,,,
8791,2.0,5.0,1061.34,1.0,1.0,1.0,0.0,0.1391
,,,,,,,,
8732,5.0,4.0,1058.58,1.0,1.0,1.0,0.0,0.1693
,,,,,,,,
7721,6.0,1.0,1058.06,1.0,1.0,1.0,0.0,0.2344
,,,,,,,,
8167,-3.0,4.0,1060.37,1.0,1.0,1.0,0.0,0.1606
,,,,,,,,
9126,6.0,0.0,1067.54,1.0,1.0,1.0,0.0,0.0508
,,,,,,,,
8402,2.0,2.0,1062.11,1.0,1.0,1.0,0.0,0.201
,,,,,,,,
8162,8.0,0.0,1064.13,1.0,1.0,1.0,0.0,0.0543
,,,,,,,,
9715,-5.0,1.0,1056.14,1.0,1.0,1.0,0.0,0.2377
,,,,,,,,
8983,22.0,3.0,1055.59,1.0,1.0,1.0,0.0,0.2489
,,,,,,,,
9746,0.0,1.0,1058.91,1.0,1.0,1.0,0.0,0.2209
,,,,,,,,
60755.0,7.0,4.0,,,,,,
10158,3.0,3.0,1129.92,2.0,2.0,2.0,0.0,0.269
,,,,,,,,
8517,3.0,1.0,1056.19,1.0,1.0,1.0,0.0,0.2269
,,,,,,,,
7968,0.0,1.0,1061.06,1.0,1.0,1.0,0.0,0.2149
,,,,,,,,
7967,-1.0,1.0,1056.04,1.0,1.0,1.0,0.0,0.2183
,,,,,,,,
7910,2.0,3.0,1058.78,1.0,1.0,1.0,0.0,0.1776
,,,,,,,,
7993,3.0,4.0,1061.93,1.0,1.0,1.0,0.0,0.16
,,,,,,,,
8413,15.0,1.0,1053.06,1.0,1.0,1.0,0.0,0.2673
,,,,,,,,
10219,0.0,1.0,1060.82,1.0,1.0,1.0,0.0,0.2224
,,,,,,,,
9245,11.0,4.0,1058.76,1.0,1.0,1.0,0.0,0.1913
,,,,,,,,
8494,16.0,7.0,1064.48,1.0,1.0,1.0,0.0,0.1483
,,,,,,,,
8920,-4.0,0.0,1065.76,1.0,1.0,1.0,0.0,0.0433
,,,,,,,,
7827,-3.0,1.0,1058.86,1.0,1.0,1.0,0.0,0.2246
,,,,,,,,
7578,9.0,3.0,1059.1,1.0,1.0,1.0,0.0,0.2002
,,,,,,,,
8246,1.0,0.0,1067.76,1.0,1.0,1.0,0.0,0.0309
,,,,,,,,
8690,0.0,9.0,1066.56,1.0,1.0,1.0,0.0,0.0634
,,,,,,,,
10133,0.0,0.0,1071.8,1.0,1.0,1.0,0.0,0.0338
,,,,,,,,
8344,3.0,0.0,1066.92,1.0,1.0,1.0,0.0,0.038
,,,,,,,,
9882,5.0,7.0,1063.94,1.0,1.0,1.0,0.0,0.1156
,,,,,,,,
7903,4.0,1.0,1059.03,1.0,1.0,1.0,0.0,0.2283
,,,,,,,,
7654,3.0,2.0,1059.41,1.0,1.0,1.0,0.0,0.2019
,,,,,,,,
8555,10.0,5.0,1060.69,1.0,1.0,1.0,0.0,0.1654
,,,,,,,,
7811,6.0,3.0,1058.54,1.0,1.0,1.0,0.0,0.1908
,,,,,,,,
