capital-gain,hours-per-week,educational-num,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
7281,13.0,0.0,1082.61,1.0,1.0,1.0,0.0,0.0683
,,,,,,,,
9870,5.0,2.0,1048.62,1.0,1.0,1.0,0.0,0.3814
,,,,,,,,
10080,0.0,0.0,1092.68,1.0,1.0,1.0,0.0,0.0336
,,,,,,,,
9257,-1.0,0.0,1088.38,1.0,1.0,1.0,0.0,0.0343
,,,,,,,,
7158,0.0,0.0,1093.17,1.0,1.0,1.0,0.0,0.0239
,,,,,,,,
8765,1.0,1.0,1062.83,1.0,1.0,1.0,0.0,0.365
,,,,,,,,
8955,0.0,0.0,1097.17,1.0,1.0,1.0,0.0,0.0299
,,,,,,,,
8551,-1.0,0.0,1092.71,1.0,1.0,1.0,0.0,0.0319
,,,,,,,,
7634,-3.0,8.0,1053.24,1.0,1.0,1.0,0.0,0.3637
,,,,,,,,
9535,2.0,0.0,1083.94,1.0,1.0,1.0,0.0,0.0386
,,,,,,,,
9483,-3.0,1.0,1047.33,1.0,1.0,1.0,0.0,0.3742
,,,,,,,,
7862,0.0,0.0,1092.92,1.0,1.0,1.0,0.0,0.0262
,,,,,,,,
8483,-1.0,1.0,1054.38,1.0,1.0,1.0,0.0,0.3641
,,,,,,,,
9304,-2.0,1.0,1061.94,1.0,1.0,1.0,0.0,0.3702
,,,,,,,,
8693,-12.0,0.0,1079.29,1.0,1.0,1.0,0.0,0.0694
,,,,,,,,
9629,11.0,1.0,1053.91,1.0,1.0,1.0,0.0,0.4017
,,,,,,,,
7966,2.0,1.0,1054.03,1.0,1.0,1.0,0.0,0.3657
,,,,,,,,
9278,0.0,1.0,1058.61,1.0,1.0,1.0,0.0,0.3633
,,,,,,,,
8996,1.0,0.0,1092.28,1.0,1.0,1.0,0.0,0.0334
,,,,,,,,
8743,0.0,0.0,1088.53,1.0,1.0,1.0,0.0,0.0291
,,,,,,,,
8832,3.0,2.0,1048.82,1.0,1.0,1.0,0.0,0.3712
,,,,,,,,
9366,17.0,2.0,1048.83,1.0,1.0,1.0,0.0,0.4204
,,,,,,,,
9123,4.0,1.0,1053.3,1.0,1.0,1.0,0.0,0.3764
,,,,,,,,
9117,10.0,8.0,1044.93,1.0,1.0,1.0,0.0,0.3923
,,,,,,,,
10252,4.0,1.0,1048.18,1.0,1.0,1.0,0.0,0.3801
,,,,,,,,
8227,9.0,2.0,1060.46,1.0,1.0,1.0,0.0,0.3895
,,,,,,,,
9886,3.0,0.0,1087.24,1.0,1.0,1.0,0.0,0.0431
,,,,,,,,
8317,6.0,1.0,1052.29,1.0,1.0,1.0,0.0,0.3805
,,,,,,,,
8197,10.0,2.0,1051.7,1.0,1.0,1.0,0.0,0.3928
,,,,,,,,
7775,1.0,1.0,1053.9,1.0,1.0,1.0,0.0,0.3617
,,,,,,,,
8058,4.0,1.0,1057.65,1.0,1.0,1.0,0.0,0.3728
,,,,,,,,
7641,-1.0,0.0,1088.35,1.0,1.0,1.0,0.0,0.0289
,,,,,,,,
9591,24.0,4.0,1047.46,1.0,1.0,1.0,0.0,0.4398
,,,,,,,,
8897,10.0,1.0,1059.67,1.0,1.0,1.0,0.0,0.3959
,,,,,,,,
7485,8.0,0.0,1082.05,1.0,1.0,1.0,0.0,0.0521
,,,,,,,,
7592,6.0,3.0,1057.66,1.0,1.0,1.0,0.0,0.3747
,,,,,,,,
8731,6.0,4.0,1051.83,1.0,1.0,1.0,0.0,0.3762
,,,,,,,,
8761,7.0,1.0,1056.82,1.0,1.0,1.0,0.0,0.3853
,,,,,,,,
7971,0.0,0.0,1091.95,1.0,1.0,1.0,0.0,0.0266
,,,,,,,,
9729,3.0,2.0,1057.29,1.0,1.0,1.0,0.0,0.3742
,,,,,,,,
8551,11.0,1.0,1055.43,1.0,1.0,1.0,0.0,0.3981
,,,,,,,,
10346,7.0,5.0,1047.84,1.0,1.0,1.0,0.0,0.3857
,,,,,,,,
11224.0,8.0,0.0,,,,,,
