capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
8890,7.0,0.0,,,,,,,,,,
-2531.0,-1.0,11.0,1128.99,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.0544
,,,,,,,,,,,,
-3127.0,23.0,0.0,,,,,,,,,,
2633.0,0.0,1.0,1138.07,0.99,1.0,0.99,0.01,1.0,1.0,1.0,0.0,0.1543
8224,11.0,15.0,,,,,,,,,,
,,,,,,,,,,,,
10195,0.0,0.0,1121.34,0.96,0.97,0.96,0.01,1.0,1.0,1.0,0.0,0.034
,,,,,,,,,,,,
8293,5.0,0.0,,,,,,,,,,
1575.0,3.0,1.0,1125.76,0.94,0.97,0.95,0.03,1.0,1.0,1.0,0.0,0.1234
,,,,,,,,,,,,
9007,1.0,1.0,,,,,,,,,,
3000.0,0.0,1.0,,,,,,,,,,
5802.0,0.0,2.0,1154.96,0.94,0.97,0.95,0.03,1.0,1.0,1.0,0.0,0.1657
893.0,2.0,8.0,,,,,,,,,,
,,,,,,,,,,,,
8767,-1.0,3.0,,,,,,,,,,
6000.0,0.0,1.0,1133.8600000000001,0.94,0.96,0.95,0.02,1.0,1.0,1.0,0.0,0.1902
3000.0,4.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
9808,30.0,5.0,1111.01,0.99,1.0,0.99,0.01,1.0,1.0,1.0,0.0,0.2364
,,,,,,,,,,,,
0.0,4.0,0.0,,,,,,,,,,
10579,0.0,0.0,1130.83,0.96,0.97,0.96,0.01,1.0,1.0,1.0,0.0,0.0244
,,,,,,,,,,,,
7831,-3.0,0.0,,,,,,,,,,
2999.0,-6.0,0.0,1132.62,0.87,0.86,0.86,0.01,1.0,1.0,1.0,0.0,0.0333
,,,,,,,,,,,,
7625,19.0,1.0,,,,,,,,,,
-2015.0,9.0,0.0,1115.19,0.77,0.77,0.77,0.0,1.0,1.0,1.0,0.0,0.1537
,,,,,,,,,,,,
10260,-4.0,1.0,,,,,,,,,,
5319.0,-1.0,2.0,1134.6,0.93,0.96,0.95,0.03,1.0,1.0,1.0,0.0,0.168
3026.0,10.0,10.0,,,,,,,,,,
,,,,,,,,,,,,
2601.0,10.0,2.0,,,,,,,,,,
7721,8.0,1.0,,,,,,,,,,
4290.0,-3.0,1.0,1147.12,0.8,0.84,0.82,0.04,1.0,1.0,1.0,0.0,0.1696
5058.0,1.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
-5983.0,3.0,0.0,,,,,,,,,,
10257,0.0,4.0,1130.83,0.94,0.96,0.95,0.02,1.0,1.0,1.0,0.0,0.0834
,,,,,,,,,,,,
2046.0,8.0,0.0,,,,,,,,,,
7751,10.0,4.0,1140.8899999999999,0.89,0.92,0.91,0.03,1.0,1.0,1.0,0.0,0.1528
5589.0,36.0,14.0,,,,,,,,,,
,,,,,,,,,,,,
9487,15.0,5.0,,,,,,,,,,
554.0,-1.0,0.0,1127.36,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.095
,,,,,,,,,,,,
-2356.0,6.0,0.0,,,,,,,,,,
-166.0,1.0,0.0,1143.7,0.96,0.97,0.96,0.01,1.0,1.0,1.0,0.0,0.0198
8593,2.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
-5926.0,4.0,0.0,,,,,,,,,,
10259,-3.0,3.0,,,,,,,,,,
7802.0,-5.0,0.0,1220.34,0.93,0.96,0.95,0.03,2.0,2.0,2.0,0.0,0.1081
4996.0,2.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
