capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
9451,3.0,0.0,,,,,,,,,,
645.0,0.0,3.0,,,,,,,,,,
1209.0,-3.0,2.0,1214.68,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.2232
-1684.0,11.0,0.0,,,,,,,,,,
-949.0,8.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
9166,0.0,1.0,,,,,,,,,,
-2997.0,0.0,0.0,,,,,,,,,,
451.0,0.0,1.0,1188.33,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.2567
-2313.0,0.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
8916,-3.0,1.0,,,,,,,,,,
-5772.0,-6.0,2.0,,,,,,,,,,
1194.0,0.0,1.0,1198.66,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.3534
1705.0,-5.0,2.0,,,,,,,,,,
5468.0,13.0,13.0,,,,,,,,,,
,,,,,,,,,,,,
9560,3.0,3.0,,,,,,,,,,
5998.0,-3.0,0.0,,,,,,,,,,
5922.0,-3.0,1.0,1211.8,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.232
5956.0,3.0,0.0,,,,,,,,,,
5202.0,-8.0,6.0,,,,,,,,,,
,,,,,,,,,,,,
7758,-2.0,0.0,,,,,,,,,,
-2609.0,3.0,0.0,,,,,,,,,,
-2988.0,0.0,1.0,1209.08,0.94,0.91,0.93,0.03,1.0,1.0,1.0,0.0,0.2092
169.0,0.0,1.0,,,,,,,,,,
-829.0,5.0,7.0,,,,,,,,,,
,,,,,,,,,,,,
9171,-1.0,0.0,,,,,,,,,,
0.0,0.0,1.0,,,,,,,,,,
3000.0,0.0,0.0,1221.16,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.1484
-2998.0,0.0,0.0,,,,,,,,,,
6900.0,6.0,6.0,,,,,,,,,,
,,,,,,,,,,,,
9714,3.0,0.0,,,,,,,,,,
2760.0,0.0,0.0,,,,,,,,,,
0.0,5.0,0.0,1222.19,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.1481
0.0,0.0,1.0,,,,,,,,,,
-2381.0,-3.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
7817,3.0,0.0,,,,,,,,,,
3135.0,2.0,1.0,,,,,,,,,,
3000.0,3.0,1.0,1211.37,0.94,0.93,0.94,0.01,1.0,1.0,1.0,0.0,0.2163
-2877.0,0.0,0.0,,,,,,,,,,
-2934.0,-3.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
30237.0,0.0,0.0,,,,,,,,,,
-5689.0,0.0,0.0,,,,,,,,,,
3000.0,1.0,4.0,1212.52,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.2348
4588,11.0,3.0,,,,,,,,,,
-3077.0,9.0,7.0,,,,,,,,,,
,,,,,,,,,,,,
3000.0,3.0,2.0,,,,,,,,,,
8654,3.0,0.0,,,,,,,,,,
3000.0,0.0,0.0,1197.04,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.1896
2442.0,5.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
-23145.0,-7.0,0.0,,,,,,,,,,
-10880.0,-1.0,0.0,,,,,,,,,,
1165.0,3.0,0.0,1216.58,0.94,0.97,0.95,0.03,1.0,1.0,1.0,0.0,0.1542
8941,-5.0,2.0,,,,,,,,,,
4341.0,2.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
10471,-11.0,0.0,,,,,,,,,,
-5760.0,19.0,0.0,,,,,,,,,,
3133.0,-4.0,1.0,1219.69,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.1731
0.0,-9.0,0.0,,,,,,,,,,
-10670.0,-4.0,8.0,,,,,,,,,,
,,,,,,,,,,,,
8712,-6.0,0.0,,,,,,,,,,
1852.0,2.0,2.0,,,,,,,,,,
