capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
544.0,-2.0,3.0,,,,,,
2495.0,-5.0,2.0,1069.43,0.97,0.97,0.97,0.0,0.1941
9567,2.0,1.0,,,,,,
,,,,,,,,
10150,-1.0,2.0,,,,,,
1542.0,5.0,0.0,,,,,,
-1198.0,-1.0,0.0,1087.32,0.96,0.96,0.96,0.0,0.0607
0.0,3.0,0.0,,,,,,
,,,,,,,,
7802,-5.0,2.0,,,,,,
4890.0,-5.0,0.0,,,,,,
-2945.0,-1.0,0.0,1071.34,0.87,0.82,0.84,0.05,0.0932
-163.0,-1.0,15.0,,,,,,
,,,,,,,,
8163,15.0,1.0,,,,,,
5951.0,15.0,0.0,1054.74,0.95,0.96,0.95,0.01,0.1704
,,,,,,,,
900.0,0.0,1.0,,,,,,
8925,-2.0,0.0,1059.84,0.98,0.97,0.97,0.01,0.1158
,,,,,,,,
-15121.0,-13.0,0.0,,,,,,
5974.0,-3.0,1.0,,,,,,
120.0,0.0,0.0,1079.25,0.97,0.97,0.97,0.0,0.1229
9880,0.0,1.0,,,,,,
,,,,,,,,
8212,2.0,1.0,,,,,,
1296.0,0.0,1.0,,,,,,
-498.0,1.0,0.0,1078.64,0.93,0.93,0.93,0.0,0.1469
1085.0,-3.0,3.0,,,,,,
,,,,,,,,
8778,2.0,0.0,,,,,,
-1537.0,0.0,0.0,1070.34,0.98,0.98,0.98,0.0,0.0181
,,,,,,,,
-5098.0,7.0,0.0,,,,,,
9141,36.0,1.0,1056.86,1.0,1.0,1.0,0.0,0.1838
,,,,,,,,
9288,25.0,4.0,,,,,,
2947.0,0.0,0.0,,,,,,
2253.0,3.0,2.0,1077.89,0.99,1.0,0.99,0.01,0.1512
4307.0,1.0,3.0,,,,,,
,,,,,,,,
8152,1.0,2.0,,,,,,
2740.0,3.0,0.0,,,,,,
-806.0,0.0,0.0,1080.92,0.92,0.93,0.93,0.01,0.0586
1300.0,3.0,0.0,,,,,,
,,,,,,,,
7819,0.0,0.0,,,,,,
-831.0,1.0,0.0,1073.53,0.92,0.91,0.92,0.01,0.0546
1442.0,1.0,4.0,,,,,,
,,,,,,,,
-12188.0,-7.0,0.0,,,,,,
3303.0,4.0,7.0,,,,,,
1803.0,-3.0,4.0,1084.49,0.77,0.74,0.76,0.03,0.1162
1299.0,-1.0,4.0,,,,,,
7089.0,26.0,13.0,,,,,,
,,,,,,,,
4258.0,10.0,2.0,,,,,,
7671,-8.0,0.0,1057.29,0.84,0.76,0.8,0.08,0.097
-947.0,-6.0,0.0,,,,,,
,,,,,,,,
2555.0,0.0,1.0,,,,,,
7600.0,0.0,2.0,1071.1,0.98,0.98,0.98,0.0,0.1539
8577,11.0,0.0,,,,,,
,,,,,,,,
-1321.0,15.0,0.0,,,,,,
1503.0,8.0,0.0,,,,,,
6072.0,-4.0,5.0,1084.09,1.0,1.0,1.0,0.0,0.0899
8819,9.0,13.0,,,,,,
,,,,,,,,
9949,9.0,4.0,,,,,,
3201.0,-1.0,2.0,,,,,,
3217.0,3.0,2.0,1096.94,0.97,0.98,0.97,0.01,0.1183
0.0,4.0,0.0,,,,,,
-272.0,4.0,0.0,,,,,,
,,,,,,,,
8455,2.0,4.0,,,,,,
1713.0,0.0,2.0,,,,,,
1947.0,2.0,0.0,1088.24,0.96,0.96,0.96,0.0,0.0911
2296.0,2.0,0.0,,,,,,
,,,,,,,,
9245,1.0,0.0,,,,,,
-2073.0,2.0,0.0,1067.06,0.98,0.97,0.97,0.01,0.0206
,,,,,,,,
2800.0,0.0,0.0,,,,,,
4174.0,-1.0,0.0,,,,,,
2858.0,4.0,0.0,1083.31,0.97,0.97,0.97,0.0,0.0592
9740,2.0,3.0,,,,,,
,,,,,,,,
7972,10.0,1.0,,,,,,
5556.0,-1.0,7.0,,,,,,
858.0,2.0,4.0,1077.58,0.92,0.91,0.92,0.01,0.1276
2689.0,7.0,0.0,,,,,,
,,,,,,,,
9644,3.0,5.0,,,,,,
5944.0,2.0,2.0,,,,,,
5532.0,3.0,1.0,1078.71,0.97,0.97,0.97,0.0,0.1434
2618.0,0.0,0.0,,,,,,
,,,,,,,,
9694,6.0,1.0,,,,,,
2529.0,0.0,2.0,1076.03,0.97,0.97,0.97,0.0,0.1464
2858.0,2.0,0.0,,,,,,
,,,,,,,,
8561,4.0,1.0,,,,,,
2865.0,0.0,0.0,,,,,,
2734.0,-3.0,0.0,1097.82,0.96,0.97,0.96,0.01,0.0896
2472.0,0.0,2.0,,,,,,
0.0,2.0,0.0,,,,,,
,,,,,,,,
8848,5.0,1.0,,,,,,
2453.0,1.0,0.0,,,,,,
-1383.0,3.0,0.0,1090.09,0.97,0.97,0.97,0.0,0.0652
99.0,0.0,0.0,,,,,,
,,,,,,,,
1637.0,3.0,3.0,,,,,,
5749.0,-3.0,1.0,,,,,,
1191.0,-3.0,1.0,1075.02,0.98,0.98,0.98,0.0,0.2157
8607,15.0,1.0,,,,,,
,,,,,,,,
3261.0,6.0,2.0,,,,,,
773.0,1.0,0.0,,,,,,
638.0,-2.0,0.0,1082.36,1.0,1.0,1.0,0.0,0.0988
8935,34.0,9.0,,,,,,
,,,,,,,,
10522,0.0,0.0,,,,,,
2657.0,0.0,1.0,1060.61,0.98,0.98,0.98,0.0,0.118
,,,,,,,,
2385.0,15.0,3.0,,,,,,
2470.0,0.0,1.0,,,,,,
1934.0,5.0,1.0,1074.58,0.96,0.96,0.96,0.0,0.2107
8520,0.0,1.0,,,,,,
,,,,,,,,
7647,4.0,1.0,,,,,,
4033.0,-1.0,1.0,,,,,,
0.0,3.0,0.0,1071.46,0.8,0.71,0.76,0.09,0.1167
2935.0,-2.0,0.0,,,,,,
,,,,,,,,
9352,12.0,2.0,,,,,,
2979.0,5.0,1.0,,,,,,
2642.0,-2.0,1.0,1082.81,0.98,0.98,0.98,0.0,0.2218
5960.0,2.0,1.0,,,,,,
,,,,,,,,
8283,2.0,0.0,,,,,,
2197.0,1.0,1.0,1079.33,0.97,0.97,0.97,0.0,0.0803
-2555.0,1.0,0.0,,,,,,
,,,,,,,,
2101.0,9.0,2.0,,,,,,
778.0,5.0,2.0,,,,,,
409.0,5.0,2.0,1076.09,0.96,0.96,0.96,0.0,0.1902
8309,0.0,3.0,,,,,,
,,,,,,,,
8129,5.0,1.0,,,,,,
1928.0,0.0,3.0,,,,,,
120.0,0.0,1.0,1093.5,0.93,0.94,0.94,0.01,0.154
