capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
8794,-6.0,2.0,1042.97,0.94,0.96,0.95,0.02,0.2159
,,,,,,,,
8812,5.0,1.0,1045.66,0.96,0.97,0.96,0.01,0.2347
,,,,,,,,
8592,-3.0,0.0,1058.89,0.97,0.97,0.97,0.0,0.0388
,,,,,,,,
10463,-1.0,1.0,1043.75,0.95,0.97,0.96,0.02,0.2266
,,,,,,,,
9000,0.0,0.0,1061.21,0.97,0.98,0.97,0.01,0.03
,,,,,,,,
7579,3.0,0.0,1046.4,0.82,0.78,0.8,0.04,0.0354
,,,,,,,,
8664,0.0,0.0,1059.28,0.97,0.97,0.97,0.0,0.0289
,,,,,,,,
7919,3.0,0.0,1054.1,0.91,0.92,0.92,0.01,0.0366
,,,,,,,,
7207,39.0,12.0,1039.81,0.87,0.86,0.86,0.01,0.2197
,,,,,,,,
7839,0.0,0.0,1058.16,0.9,0.9,0.9,0.0,0.0261
,,,,,,,,
8245,-5.0,0.0,1054.46,0.92,0.92,0.92,0.0,0.0444
,,,,,,,,
9280,0.0,1.0,1050.17,0.95,0.96,0.95,0.01,0.2193
,,,,,,,,
8089,5.0,5.0,1045.49,0.92,0.94,0.93,0.02,0.1469
,,,,,,,,
9880,3.0,3.0,1047.68,0.96,0.97,0.96,0.01,0.1875
,,,,,,,,
8194,4.0,3.0,1045.29,0.92,0.94,0.93,0.02,0.1853
,,,,,,,,
7719,2.0,3.0,1038.7,0.8,0.73,0.77,0.07,0.177
,,,,,,,,
8639,0.0,0.0,1061.7,0.97,0.97,0.97,0.0,0.0288
,,,,,,,,
8007,8.0,6.0,1049.68,0.9,0.92,0.91,0.02,0.1374
,,,,,,,,
9047,7.0,0.0,1054.88,0.97,0.99,0.98,0.02,0.0539
,,,,,,,,
8012,3.0,0.0,1053.22,0.91,0.92,0.92,0.01,0.0369
,,,,,,,,
7856,10.0,1.0,1041.4,0.9,0.92,0.91,0.02,0.2485
,,,,,,,,
7260.0,2.0,4.0,,,,,,
8681,11.0,6.0,1060.19,0.97,0.98,0.97,0.01,0.152
,,,,,,,,
8895,7.0,9.0,,,,,,
