capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
8207,0.0,2.0,1049.17,0.97,0.99,0.98,0.02,0.1962
,,,,,,,,
8125,0.0,0.0,1055.19,0.98,0.99,0.98,0.01,0.0271
,,,,,,,,
7866,1.0,2.0,,,,,,
7524.0,-3.0,0.0,1061.9,0.93,0.94,0.94,0.01,0.1169
,,,,,,,,
7832,0.0,1.0,1049.04,0.93,0.92,0.93,0.01,0.2171
,,,,,,,,
8470,3.0,2.0,1049.69,0.98,0.99,0.98,0.01,0.2073
,,,,,,,,
9452,-5.0,1.0,1047.27,0.98,0.99,0.98,0.01,0.2394
,,,,,,,,
8301,-1.0,0.0,1060.26,0.99,0.99,0.99,0.0,0.0311
,,,,,,,,
7268,6.0,0.0,1044.07,0.83,0.76,0.79,0.07,0.0446
,,,,,,,,
8255,-3.0,1.0,1048.27,0.97,0.99,0.98,0.02,0.2287
,,,,,,,,
7964,1.0,3.0,1049.33,0.94,0.94,0.94,0.0,0.1769
,,,,,,,,
8532,5.0,12.0,1057.54,1.0,1.0,1.0,0.0,0.1079
,,,,,,,,
9017,-8.0,1.0,,,,,,
-346.0,18.0,16.0,1054.65,0.98,0.99,0.98,0.01,0.2257
,,,,,,,,
8365,-2.0,2.0,1049.19,0.98,0.99,0.98,0.01,0.2036
,,,,,,,,
9041,27.0,16.0,1047.11,1.0,1.0,1.0,0.0,0.2637
,,,,,,,,
8004,3.0,2.0,,,,,,
7518.0,-3.0,1.0,1054.44,0.94,0.95,0.94,0.01,0.216
,,,,,,,,
8649,5.0,0.0,1057.46,0.99,1.0,0.99,0.01,0.0458
,,,,,,,,
7957,7.0,5.0,1045.45,0.95,0.96,0.95,0.01,0.1555
,,,,,,,,
8247,-6.0,0.0,1058.51,0.98,0.99,0.98,0.01,0.0478
,,,,,,,,
8940,-15.0,0.0,1056.07,0.99,0.99,0.99,0.0,0.0801
,,,,,,,,
