capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
9301,-2.0,1.0,,,,,,
-11218.0,-5.0,3.0,,,,,,
-1088.0,-6.0,4.0,1211.38,0.96,0.97,0.96,0.01,0.3524
1806.0,-4.0,3.0,,,,,,
-654.0,5.0,16.0,,,,,,
,,,,,,,,
-75444.0,-5.0,1.0,,,,,,
5981.0,-6.0,0.0,,,,,,
3000.0,3.0,0.0,1233.99,0.99,0.99,0.99,0.0,0.1612
8783,3.0,0.0,,,,,,
5647.0,3.0,5.0,,,,,,
,,,,,,,,
8696,0.0,1.0,,,,,,
0.0,0.0,1.0,1172.34,0.96,0.97,0.96,0.01,0.3418
-798.0,0.0,2.0,,,,,,
,,,,,,,,
-77616.0,16.0,4.0,,,,,,
5101.0,3.0,0.0,,,,,,
8207,3.0,0.0,1224.96,0.98,0.99,0.98,0.01,0.2349
-5788.0,9.0,1.0,,,,,,
-10467.0,-11.0,5.0,,,,,,
,,,,,,,,
8452,4.0,2.0,,,,,,
3505.0,6.0,1.0,,,,,,
1374.0,4.0,0.0,1223.16,0.96,0.98,0.97,0.02,0.2282
5794.0,-2.0,1.0,,,,,,
2987.0,5.0,0.0,,,,,,
,,,,,,,,
10135,-19.0,0.0,,,,,,
-5991.0,-6.0,0.0,,,,,,
6000.0,0.0,0.0,1230.8600000000001,0.98,0.99,0.98,0.01,0.1693
628.0,0.0,3.0,,,,,,
7034.0,8.0,4.0,,,,,,
,,,,,,,,
8369,-4.0,3.0,,,,,,
0.0,1.0,1.0,,,,,,
-1498.0,1.0,0.0,1224.28,0.96,0.97,0.96,0.01,0.2091
-1636.0,1.0,0.0,,,,,,
2527.0,-1.0,7.0,,,,,,
,,,,,,,,
-37540.0,15.0,4.0,,,,,,
-2561.0,0.0,8.0,,,,,,
-6359.0,-5.0,1.0,1211.33,0.96,0.97,0.96,0.01,0.353
-2815.0,7.0,6.0,,,,,,
7175,2.0,16.0,,,,,,
,,,,,,,,
9495,-1.0,0.0,,,,,,
-4061.0,3.0,0.0,,,,,,
-2764.0,2.0,6.0,1234.37,0.99,1.0,0.99,0.01,0.147
4094.0,0.0,0.0,,,,,,
2954.0,-3.0,4.0,,,,,,
,,,,,,,,
9041,2.0,0.0,,,,,,
1188.0,0.0,1.0,,,,,,
-2549.0,0.0,0.0,1235.78,0.99,0.99,0.99,0.0,0.1413
-2834.0,0.0,0.0,,,,,,
-1395.0,-1.0,3.0,,,,,,
,,,,,,,,
10602,14.0,1.0,,,,,,
3771.0,3.0,1.0,,,,,,
-940.0,6.0,0.0,1221.94,0.99,0.99,0.99,0.0,0.2951
-256.0,-2.0,1.0,,,,,,
-3819.0,-4.0,2.0,,,,,,
,,,,,,,,
5001.0,17.0,1.0,,,,,,
2296.0,0.0,1.0,,,,,,
4364.0,3.0,0.0,1223.81,1.0,1.0,1.0,0.0,0.291
7360.0,0.0,2.0,,,,,,
8475,3.0,13.0,,,,,,
,,,,,,,,
2430.0,5.0,0.0,,,,,,
9294,1.0,0.0,1206.62,0.99,0.99,0.99,0.0,0.0209
0.0,1.0,0.0,,,,,,
,,,,,,,,
0.0,0.0,1.0,,,,,,
7700,0.0,0.0,,,,,,
0.0,0.0,1.0,1196.08,0.9,0.88,0.89,0.02,0.1735
0.0,1.0,0.0,,,,,,
,,,,,,,,
7803,1.0,7.0,,,,,,
3319.0,7.0,4.0,,,,,,
-2749.0,-1.0,1.0,1208.06,0.93,0.93,0.93,0.0,0.3493
-2075.0,6.0,3.0,,,,,,
-7136.0,6.0,3.0,,,,,,
,,,,,,,,
-2997.0,1.0,12.0,,,,,,
8039,12.0,3.0,,,,,,
-640.0,-22.0,0.0,1218.03,0.97,0.98,0.97,0.01,0.2952
-818.0,2.0,1.0,,,,,,
1564.0,-1.0,1.0,,,,,,
,,,,,,,,
10404,2.0,0.0,,,,,,
2739.0,8.0,0.0,,,,,,
2491.0,2.0,0.0,1239.81,0.99,1.0,0.99,0.01,0.0866
-1671.0,0.0,0.0,,,,,,
1462.0,1.0,2.0,,,,,,
,,,,,,,,
8228,3.0,1.0,,,,,,
0.0,0.0,2.0,,,,,,
1653.0,5.0,3.0,1215.56,0.94,0.96,0.95,0.02,0.2793
3212.0,0.0,1.0,,,,,,
-1917.0,0.0,0.0,,,,,,
,,,,,,,,
817.0,14.0,1.0,,,,,,
7784,-3.0,0.0,,,,,,
4707.0,0.0,1.0,1217.57,0.94,0.92,0.93,0.02,0.2237
-39.0,-1.0,0.0,,,,,,
2939.0,2.0,2.0,,,,,,
,,,,,,,,
0.0,3.0,1.0,,,,,,
7940,2.0,0.0,,,,,,
2697.0,3.0,1.0,1220.5,0.95,0.94,0.94,0.01,0.2178
1122.0,2.0,1.0,,,,,,
2575.0,-3.0,0.0,,,,,,
,,,,,,,,
-39376.0,7.0,4.0,,,,,,
8920,1.0,8.0,,,,,,
-13350.0,-15.0,2.0,1225.67,0.99,1.0,0.99,0.01,0.2437
6854.0,-17.0,0.0,,,,,,
-9459.0,-13.0,0.0,,,,,,
,,,,,,,,
6302.0,42.0,2.0,,,,,,
8294,3.0,2.0,,,,,,
5301.0,3.0,0.0,1212.46,0.95,0.96,0.95,0.01,0.3238
4206.0,6.0,1.0,,,,,,
4767.0,5.0,3.0,,,,,,
,,,,,,,,
7176.0,5.0,6.0,,,,,,
6301.0,2.0,6.0,,,,,,
4819.0,3.0,2.0,1211.65,0.96,0.98,0.97,0.02,0.3561
0.0,3.0,2.0,,,,,,
8963,2.0,1.0,,,,,,
,,,,,,,,
2045.0,4.0,0.0,,,,,,
1232.0,-3.0,2.0,,,,,,
3919.0,-4.0,0.0,1225.41,0.98,0.99,0.98,0.01,0.2299
5568.0,5.0,3.0,,,,,,
9937,11.0,6.0,,,,,,
,,,,,,,,
-33990.0,-9.0,5.0,,,,,,
3972.0,-6.0,1.0,,,,,,
-12245.0,-1.0,10.0,1221.81,0.99,1.0,0.99,0.01,0.2866
8655,15.0,3.0,,,,,,
3126.0,-9.0,0.0,,,,,,
,,,,,,,,
2899.0,2.0,3.0,,,,,,
1461.0,6.0,1.0,,,,,,
2806.0,14.0,3.0,1212.1399999999999,0.97,0.98,0.97,0.01,0.3607
0.0,-1.0,2.0,,,,,,
10056,5.0,3.0,,,,,,
,,,,,,,,
0.0,3.0,1.0,,,,,,
5560.0,4.0,1.0,,,,,,
2934.0,0.0,0.0,1221.83,0.91,0.9,0.91,0.01,0.153
7690,3.0,0.0,,,,,,
1614.0,2.0,0.0,,,,,,
,,,,,,,,
5857.0,1.0,4.0,,,,,,
2507.0,0.0,1.0,,,,,,
-5534.0,5.0,1.0,1214.57,0.98,0.98,0.98,0.0,0.3603
5467.0,0.0,3.0,,,,,,
7224,17.0,16.0,,,,,,
,,,,,,,,
4652.0,20.0,3.0,,,,,,
2056.0,2.0,1.0,,,,,,
8782,-2.0,2.0,1210.88,0.96,0.97,0.96,0.01,0.358
-437.0,0.0,1.0,,,,,,
0.0,0.0,2.0,,,,,,
,,,,,,,,
3372.0,0.0,3.0,,,,,,
421.0,0.0,0.0,,,,,,
1354.0,3.0,0.0,1177.1100000000001,0.86,0.77,0.81,0.09,0.181
7325.0,6.0,12.0,,,,,,
,,,,,,,,
2932.0,8.0,2.0,,,,,,
4510.0,0.0,2.0,,,,,,
-3152.0,0.0,0.0,1191.81,0.87,0.79,0.83,0.08,0.2832
7988,0.0,1.0,,,,,,
2927.0,0.0,2.0,,,,,,
,,,,,,,,
5228.0,8.0,0.0,,,,,,
4074.0,0.0,3.0,,,,,,
8046,5.0,3.0,1215.7,0.95,0.97,0.96,0.02,0.2944
4956.0,3.0,3.0,,,,,,
6804.0,4.0,7.0,,,,,,
,,,,,,,,
0.0,8.0,1.0,,,,,,
7914,6.0,1.0,,,,,,
1964.0,2.0,2.0,1202.4,0.9,0.86,0.88,0.04,0.2889
-1600.0,5.0,4.0,,,,,,
0.0,5.0,0.0,,,,,,
,,,,,,,,
8667,4.0,0.0,,,,,,
-6095.0,2.0,2.0,,,,,,
-2044.0,-1.0,0.0,1228.78,0.99,0.99,0.99,0.0,0.2191
7450.0,1.0,5.0,,,,,,
4062.0,4.0,8.0,,,,,,
,,,,,,,,
10387,8.0,3.0,,,,,,
2980.0,10.0,3.0,,,,,,
7029.0,7.0,0.0,1218.9,0.98,0.99,0.98,0.01,0.3022
2801.0,8.0,3.0,,,,,,
2382.0,0.0,4.0,,,,,,
,,,,,,,,
876.0,15.0,2.0,,,,,,
5443.0,2.0,1.0,,,,,,
8611,3.0,5.0,1218.28,0.97,0.98,0.97,0.01,0.2924
0.0,1.0,0.0,,,,,,
