FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
0.0676,0.5572,2.5133,,,,,,,,,,
0.2688,-0.1822,0.2565,,,,,,,,,,
0.766,-1.232,8.5248,1100.21,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1308
3.7952,1.483,13.5894,,,,,,,,,,
,,,,,,,,,,,,
0.2795,0.0,-0.8573,,,,,,,,,,
0.0,0.2591,0.9885,1094.41,0.96,0.89,0.93,0.07,1.0,1.0,1.0,0.0,0.0964
0.8399,1.5684,22.1607,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.7003,,,,,,,,,,
0.8317,0.5541,1.7163,1090.06,0.89,0.84,0.86,0.05,1.0,1.0,1.0,0.0,0.1339
1.435,4.1526,18.8399,,,,,,,,,,
,,,,,,,,,,,,
0.2925,0.2071,3.372,,,,,,,,,,
0.9338,3.596,12.9724,1071.08,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1594
,,,,,,,,,,,,
0.0,0.0,0.6866,,,,,,,,,,
1.4384,3.5776,13.5728,1071.74,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1463
,,,,,,,,,,,,
0.0,0.0,0.7952,,,,,,,,,,
0.2733,0.2951,2.581,1089.36,0.93,0.84,0.89,0.09,1.0,1.0,1.0,0.0,0.1377
1.9176,5.0551,16.7586,,,,,,,,,,
,,,,,,,,,,,,
0.5724,0.0,0.7832,,,,,,,,,,
0.0,0.2615,0.5447,1086.2,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1031
2.1213,3.6169,8.1,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.5906,0.0,,,,,,,,,,
0.2832,0.479,0.8839,,,,,,,,,,
1.0223,0.2605,2.5212,1101.33,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1083
2.0329,3.6752,13.6099,,,,,,,,,,
,,,,,,,,,,,,
0.2097,0.0,3.4007,,,,,,,,,,
0.7955,0.2921,3.4444,1085.56,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1239
2.2322,1.7887,12.3153,,,,,,,,,,
,,,,,,,,,,,,
0.2733,0.0,1.7297,,,,,,,,,,
0.5194,0.0,2.5626,,,,,,,,,,
0.2791,0.2851,6.9871,1100.54,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1241
2.2451,3.8257,14.7569,,,,,,,,,,
,,,,,,,,,,,,
0.4078,0.518,4.645,,,,,,,,,,
0.7893,2.1153,2.2445,,,,,,,,,,
1.1921,1.8315,4.238,1098.43,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1664
2.2615,3.6417,14.5947,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.8508,,,,,,,,,,
1.2244,1.3679,3.669,1088.66,0.93,0.84,0.89,0.09,1.0,1.0,1.0,0.0,0.1519
1.0349,4.1934,19.7128,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,1.6459,,,,,,,,,,
0.8466,2.1632,22.7406,1082.28,1.0,0.95,0.97,0.05,1.0,1.0,1.0,0.0,0.1443
,,,,,,,,,,,,
0.2046,0.0,0.6478,,,,,,,,,,
0.5507,3.5788,14.4218,1072.37,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1376
,,,,,,,,,,,,
0.0,0.0,0.7275,,,,,,,,,,
0.1166,0.1012,0.926,1090.06,0.93,0.84,0.89,0.09,1.0,1.0,1.0,0.0,0.1239
2.1895,3.6397,20.0661,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.6875,,,,,,,,,,
0.2888,0.2826,0.8843,1096.9,1.0,0.95,0.97,0.05,1.0,1.0,1.0,0.0,0.1071
0.9262,2.5876,22.6709,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.0386,,,,,,,,,,
0.0,0.8822,0.8651,1095.94,1.0,0.95,0.97,0.05,1.0,1.0,1.0,0.0,0.1261
1.8124,3.491,22.6131,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.7409,,,,,,,,,,
0.0,0.4896,2.4789,1099.82,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1286
1.1614,4.0274,23.3641,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.7439,,,,,,,,,,
0.0,0.288,1.7629,1100.56,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1137
1.171,2.911,23.1756,,,,,,,,,,
,,,,,,,,,,,,
5.0094,0.9842,2.6219,,,,,,,,,,
0.137,0.0,0.8584,1087.54,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.0941
0.2969,0.8514,0.7998,,,,,,,,,,
,,,,,,,,,,,,
3.2694,2.0867,5.3244,,,,,,,,,,
1.1837,0.8984,0.8448,,,,,,,,,,
0.5962,1.1437,0.899,1098.92,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1066
1.1573,0.2977,0.0,,,,,,,,,,
,,,,,,,,,,,,
1.1328,0.2986,0.8815,,,,,,,,,,
0.2868,0.0,0.7937,1099.88,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1273
1.1199,3.0482,23.2565,,,,,,,,,,
,,,,,,,,,,,,
3.3127,3.1589,5.0542,,,,,,,,,,
0.5819,0.0,1.7344,,,,,,,,,,
0.2961,0.0,0.8724,1100.65,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.082
0.276,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
3.0271,3.9911,3.4223,,,,,,,,,,
1.4435,1.1036,1.5986,,,,,,,,,,
0.0,0.2917,2.1788,1099.24,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1001
0.2645,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
3.6998,2.3257,4.3343,,,,,,,,,,
1.1705,0.296,1.6595,,,,,,,,,,
0.2935,0.2941,1.6216,1102.94,0.78,0.79,0.79,0.01,1.0,1.0,1.0,0.0,0.0962
0.2985,0.5726,0.8633,,,,,,,,,,
,,,,,,,,,,,,
3.0436,2.3286,5.34,1055.17,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.2316
,,,,,,,,,,,,
4.1643,2.4838,1.7016,,,,,,,,,,
0.0,0.263,0.8902,1090.76,0.78,0.79,0.79,0.01,1.0,1.0,1.0,0.0,0.0897
0.2967,0.2944,0.0,,,,,,,,,,
,,,,,,,,,,,,
3.7416,2.654,4.1273,,,,,,,,,,
0.0,0.0,0.8797,1090.76,0.78,0.79,0.79,0.01,1.0,1.0,1.0,0.0,0.0897
0.0,0.0,0.8949,,,,,,,,,,
,,,,,,,,,,,,
3.3631,3.4289,4.3289,,,,,,,,,,
0.292,0.5048,0.0,1072.55,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.144
,,,,,,,,,,,,
3.7274,3.2818,3.2414,,,,,,,,,,
0.8471,0.5681,0.0,1071.46,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.152
,,,,,,,,,,,,
3.7388,3.2232,1.7764,,,,,,,,,,
0.5849,0.2989,3.3713,1072.1,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1531
,,,,,,,,,,,,
3.6933,2.5936,4.0582,,,,,,,,,,
0.298,0.5931,0.0,1075.87,0.78,0.79,0.79,0.01,1.0,1.0,1.0,0.0,0.1376
,,,,,,,,,,,,
3.7945,1.9399,3.449,,,,,,,,,,
0.2843,0.5952,0.7848,1073.22,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1306
,,,,,,,,,,,,
3.72,3.0061,4.2017,,,,,,,,,,
0.0817,0.0,0.0,1076.19,0.78,0.79,0.79,0.01,1.0,1.0,1.0,0.0,0.1311
,,,,,,,,,,,,
3.9898,1.9442,3.4284,,,,,,,,,,
0.8418,0.589,0.7396,1086.51,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.108
0.8814,0.2856,0.0,,,,,,,,,,
,,,,,,,,,,,,
5.1814,0.7219,3.338,1058.96,0.81,0.79,0.8,0.02,1.0,1.0,1.0,0.0,0.2257
,,,,,,,,,,,,
3.1088,3.4218,4.3943,,,,,,,,,,
1.4774,0.5687,0.6508,,,,,,,,,,
0.2882,0.2837,3.5386,1099.31,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1088
0.5801,0.5628,0.8352,,,,,,,,,,
,,,,,,,,,,,,
3.9948,3.17,3.515,,,,,,,,,,
0.2276,0.2936,0.8718,1086.72,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1007
0.0,0.0,0.8871,,,,,,,,,,
,,,,,,,,,,,,
3.8258,2.9731,3.3722,,,,,,,,,,
0.2917,0.2949,0.0,,,,,,,,,,
0.1729,0.0,0.8724,1100.92,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.0765
0.5512,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
1.0884,1.7452,0.8646,,,,,,,,,,
0.0,0.0,1.5121,,,,,,,,,,
0.2945,0.5744,0.8366,1103.23,0.89,0.84,0.86,0.05,1.0,1.0,1.0,0.0,0.1204
2.0225,3.1352,19.7019,,,,,,,,,,
,,,,,,,,,,,,
4.281,1.9878,2.6019,,,,,,,,,,
0.2849,0.2986,0.0,1076.51,0.78,0.79,0.79,0.01,1.0,1.0,1.0,0.0,0.1248
,,,,,,,,,,,,
3.7278,2.8963,4.3819,,,,,,,,,,
0.5863,0.5882,0.0,1075.31,0.78,0.79,0.79,0.01,1.0,1.0,1.0,0.0,0.1489
,,,,,,,,,,,,
4.3435,1.429,3.52,,,,,,,,,,
0.2971,0.0,0.0,1088.04,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.0842
0.51,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.2967,0.5895,0.0,,,,,,,,,,
0.2891,0.2925,0.0,,,,,,,,,,
0.0,0.2934,0.8778,1106.64,0.96,0.89,0.93,0.07,1.0,1.0,1.0,0.0,0.1023
1.4704,4.0884,21.9021,,,,,,,,,,
,,,,,,,,,,,,
4.3495,5.51,3.5154,,,,,,,,,,
1.9409,0.2985,1.7598,,,,,,,,,,
0.0,0.5842,0.8923,1105.56,0.96,0.89,0.93,0.07,1.0,1.0,1.0,0.0,0.1238
0.5569,0.5773,0.0,,,,,,,,,,
,,,,,,,,,,,,
4.3081,1.9225,2.5307,,,,,,,,,,
0.0,0.0,0.8847,1091.12,0.78,0.79,0.79,0.01,1.0,1.0,1.0,0.0,0.0827
0.2987,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
2.0231,4.7035,5.2374,,,,,,,,,,
1.4758,1.1821,3.5777,,,,,,,,,,
0.5896,0.2918,2.6598,1101.03,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1144
0.2975,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
3.6984,3.5121,2.3586,,,,,,,,,,
0.8812,0.2601,0.0,1072.0,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1451
,,,,,,,,,,,,
2.0707,3.7964,4.4347,,,,,,,,,,
1.6615,1.177,3.528,,,,,,,,,,
0.0,0.0,0.8945,1099.7,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1009
0.2964,0.5798,0.0,,,,,,,,,,
,,,,,,,,,,,,
3.5288,4.6709,6.2137,,,,,,,,,,
1.4497,1.1687,1.7445,1091.35,0.96,0.89,0.93,0.07,1.0,1.0,1.0,0.0,0.158
1.1643,0.0,0.8937,,,,,,,,,,
,,,,,,,,,,,,
0.8819,1.1886,3.4939,,,,,,,,,,
3.5006,1.7849,9.7156,,,,,,,,,,
1.1923,0.889,1.7919,1099.78,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1395
2.0709,0.5951,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.5968,2.679,12.4573,,,,,,,,,,
3.8611,3.8181,11.5944,,,,,,,,,,
2.6588,2.0558,5.3405,1135.98,0.93,0.84,0.89,0.09,3.0,3.0,3.0,0.0,0.2054
0.5976,0.2962,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.0,1.7766,12.3934,,,,,,,,,,
3.5617,4.1209,16.022,,,,,,,,,,
4.733,3.2586,2.6341,1138.24,0.93,0.89,0.91,0.04,3.0,3.0,3.0,0.0,0.2301
1.492,0.8971,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.2867,4.4133,,,,,,,,,,
3.7958,3.5069,9.5392,,,,,,,,,,
2.3709,1.1663,2.6678,1101.7,0.93,0.84,0.89,0.09,1.0,1.0,1.0,0.0,0.1409
0.2948,0.5766,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.2931,2.5018,,,,,,,,,,
3.8158,3.1984,10.3999,,,,,,,,,,
2.6194,0.885,1.7776,1102.61,0.89,0.84,0.86,0.05,1.0,1.0,1.0,0.0,0.1328
0.5871,0.2993,0.0,,,,,,,,,,
,,,,,,,,,,,,
2.3628,3.7503,9.5343,,,,,,,,,,
1.1645,0.885,0.0,1072.79,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1792
,,,,,,,,,,,,
0.0,0.2898,2.6415,,,,,,,,,,
3.8436,2.0687,10.5207,,,,,,,,,,
