FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
4.7597,1.5719,0.7645,,,,,,,,,,
-0.2202,0.8114,2.5264,,,,,,,,,,
0.6757,0.0519,-1.3547,1214.27,0.77,0.74,0.76,0.03,1.0,1.0,1.0,0.0,0.0873
-0.1017,0.7043,1.4086,,,,,,,,,,
,,,,,,,,,,,,
4.7185,2.4033,0.0,,,,,,,,,,
0.0,0.0,1.2944,1188.6,0.74,0.79,0.77,0.05,1.0,1.0,1.0,0.0,0.084
0.2002,0.2894,0.0,,,,,,,,,,
,,,,,,,,,,,,
4.8171,1.4221,1.6526,1126.74,0.76,0.74,0.75,0.02,1.0,1.0,1.0,0.0,0.2126
,,,,,,,,,,,,
4.7441,2.2664,0.8079,1127.09,0.76,0.79,0.78,0.03,1.0,1.0,1.0,0.0,0.227
,,,,,,,,,,,,
4.247,2.4318,2.5469,,,,,,,,,,
0.2907,0.0,0.0,1154.65,0.71,0.79,0.75,0.08,1.0,1.0,1.0,0.0,0.1235
,,,,,,,,,,,,
4.996,1.1589,2.8817,,,,,,,,,,
0.5838,0.0,0.8851,1185.28,0.78,0.72,0.75,0.06,1.0,1.0,1.0,0.0,0.0872
0.0,0.0,0.8331,,,,,,,,,,
,,,,,,,,,,,,
4.406,2.0231,2.5769,1121.03,0.72,0.79,0.76,0.07,1.0,1.0,1.0,0.0,0.2297
,,,,,,,,,,,,
0.0,0.0,19.7132,1136.3600000000001,0.85,0.81,0.83,0.04,1.0,1.0,1.0,0.0,0.1764
,,,,,,,,,,,,
0.0,1.4759,19.5978,1132.6100000000001,0.88,0.83,0.85,0.05,1.0,1.0,1.0,0.0,0.2239
,,,,,,,,,,,,
0.0,0.2944,0.89,,,,,,,,,,
0.0,0.5763,19.4164,1164.31,0.87,0.79,0.83,0.08,1.0,1.0,1.0,0.0,0.1069
,,,,,,,,,,,,
0.0,0.0,19.7478,1136.08,0.85,0.81,0.83,0.04,1.0,1.0,1.0,0.0,0.1766
,,,,,,,,,,,,
0.0,0.2986,19.7559,1134.34,0.86,0.81,0.83,0.05,1.0,1.0,1.0,0.0,0.1866
,,,,,,,,,,,,
0.0,0.2901,19.3606,1127.57,0.85,0.76,0.8,0.09,1.0,1.0,1.0,0.0,0.1843
,,,,,,,,,,,,
0.0,0.0,18.6204,1128.93,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1707
,,,,,,,,,,,,
0.0,0.2972,19.3629,1127.54,0.85,0.76,0.8,0.09,1.0,1.0,1.0,0.0,0.1846
,,,,,,,,,,,,
0.0,0.5916,19.5738,1130.45,0.87,0.79,0.83,0.08,1.0,1.0,1.0,0.0,0.1955
,,,,,,,,,,,,
0.0,0.2947,19.4693,1132.49,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1851
,,,,,,,,,,,,
0.0,0.2987,18.6239,1125.93,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1807
,,,,,,,,,,,,
0.0,0.5972,19.4748,1130.49,0.87,0.79,0.83,0.08,1.0,1.0,1.0,0.0,0.1951
,,,,,,,,,,,,
0.0,0.0,18.6691,1126.9,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.171
,,,,,,,,,,,,
0.0,0.0,19.4119,1133.51,0.85,0.79,0.82,0.06,1.0,1.0,1.0,0.0,0.1749
,,,,,,,,,,,,
0.0,0.0,18.681,1126.9,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.171
,,,,,,,,,,,,
0.0,0.0,18.6367,1128.92,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1708
,,,,,,,,,,,,
0.0,0.2956,18.6304,1125.94,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1806
,,,,,,,,,,,,
0.0,0.0,18.6432,1126.92,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1708
,,,,,,,,,,,,
0.0,0.0,18.7201,1126.88,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1712
,,,,,,,,,,,,
0.0,0.0,18.6763,1126.9,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.171
,,,,,,,,,,,,
0.0,0.2984,18.6537,1125.92,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1808
,,,,,,,,,,,,
