FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.1755,-0.5725,-0.2861,,,,,,
2.2921,0.5617,6.0773,,,,,,
-0.234,1.7529,4.0769,1200.65,0.76,0.75,0.76,0.01,0.1383
1.1001,4.4849,7.8758,,,,,,
,,,,,,,,
3.0969,2.5319,9.776,,,,,,
2.197,2.8275,2.9466,,,,,,
2.1109,2.86,3.5838,1190.38,0.84,0.75,0.79,0.09,0.2225
0.8078,2.4836,11.1569,,,,,,
,,,,,,,,
6.1559,2.8935,2.5303,,,,,,
1.6648,1.9261,1.6568,,,,,,
0.7535,0.8798,3.327,1204.35,0.8,0.88,0.84,0.08,0.1606
0.5496,1.9654,4.2307,,,,,,
,,,,,,,,
4.8161,3.9991,4.3221,,,,,,
1.3969,0.5663,0.7427,,,,,,
0.0,0.2895,1.7173,1221.48,0.88,0.97,0.93,0.09,0.1102
0.0,0.2979,1.6809,,,,,,
,,,,,,,,
4.879,2.0453,1.7321,,,,,,
0.2984,0.5784,0.8924,1180.45,0.76,0.81,0.79,0.05,0.095
0.0,0.5793,0.0,,,,,,
,,,,,,,,
4.542,2.6163,3.5028,1109.19,0.72,0.78,0.75,0.06,0.2546
,,,,,,,,
6.6038,1.9486,0.0,1110.28,0.72,0.78,0.75,0.06,0.2425
,,,,,,,,
10.0,1.979,2.6007,,,,,,
0.2926,0.0,0.0,1152.87,0.8,0.78,0.79,0.02,0.1537
,,,,,,,,
4.6789,2.3179,0.8982,1112.28,0.72,0.78,0.75,0.06,0.2202
,,,,,,,,
4.8854,2.2834,0.0,1112.78,0.72,0.78,0.75,0.06,0.2147
,,,,,,,,
4.9345,2.343,0.0,1112.49,0.72,0.78,0.75,0.06,0.2179
,,,,,,,,
5.7391,1.4335,0.8905,1118.28,0.76,0.75,0.76,0.01,0.2202
,,,,,,,,
5.5395,1.7576,0.8882,1118.41,0.76,0.78,0.77,0.02,0.2254
,,,,,,,,
10.0,1.9548,0.0,,,,,,
0.0,0.2885,0.8885,1150.77,0.76,0.78,0.77,0.02,0.1437
,,,,,,,,
4.9686,1.7675,2.5632,,,,,,
0.2785,0.0,2.5844,,,,,,
0.0,0.5653,0.8105,1211.98,0.8,0.81,0.81,0.01,0.0958
0.8831,0.2926,4.4484,,,,,,
,,,,,,,,
0.2968,0.298,19.5178,1118.83,0.8,0.75,0.78,0.05,0.2074
,,,,,,,,
5.5058,1.4015,0.0,,,,,,
0.298,0.0,3.4343,,,,,,
0.2993,0.0,0.7102,1203.24,0.8,0.75,0.78,0.05,0.1029
1.4645,1.1556,5.2431,,,,,,
,,,,,,,,
4.9116,1.7697,0.0,,,,,,
0.2931,0.8376,1.637,,,,,,
0.5836,0.8877,1.7886,1196.5,0.8,0.72,0.76,0.08,0.1145
1.4735,1.4821,3.5663,,,,,,
,,,,,,,,
4.447,2.6463,2.6328,,,,,,
0.8946,0.0,0.8954,,,,,,
2.0176,0.0,1.7096,1195.6100000000001,0.72,0.81,0.77,0.09,0.131
1.1564,1.7112,6.1505,,,,,,
,,,,,,,,
4.6693,2.0606,0.8742,,,,,,
0.2784,0.295,0.8828,,,,,,
0.2944,0.0,0.8785,1206.75,0.76,0.78,0.77,0.02,0.0772
0.0,0.298,3.4935,,,,,,
,,,,,,,,
10.0,1.7742,3.5649,,,,,,
1.1799,0.5958,0.0,,,,,,
0.5912,0.0,0.881,1202.43,0.8,0.75,0.78,0.05,0.1119
0.5896,0.2976,2.6463,,,,,,
,,,,,,,,
4.9386,1.4573,0.8836,,,,,,
0.5912,0.0,0.0,1179.43,0.8,0.75,0.78,0.05,0.0897
0.0,0.0,4.4118,,,,,,
,,,,,,,,
4.3752,2.0448,2.5921,,,,,,
0.5888,0.2991,0.0,,,,,,
0.2966,0.5843,0.0,1199.46,0.72,0.78,0.75,0.06,0.0849
0.0,0.2791,4.4235,,,,,,
,,,,,,,,
4.445,2.3813,3.5103,,,,,,
0.5934,0.2987,0.0,1171.54,0.72,0.78,0.75,0.06,0.1173
0.2891,0.5925,4.3463,,,,,,
,,,,,,,,
10.0,4.3744,4.2615,,,,,,
0.2989,1.4495,0.0,,,,,,
0.0,0.8787,0.8865,1229.15,0.96,1.0,0.98,0.04,0.1583
0.2953,2.3235,6.0144,,,,,,
,,,,,,,,
10.0,1.7744,0.8844,,,,,,
0.2753,0.0,0.0,1177.38,0.8,0.75,0.78,0.05,0.1069
0.0,0.0,3.5487,,,,,,
,,,,,,,,
10.0,1.4757,2.5997,,,,,,
0.2964,0.0,0.8957,,,,,,
0.5958,0.5898,0.0,1197.3899999999999,0.8,0.72,0.76,0.08,0.1046
0.5926,0.2668,4.4083,,,,,,
,,,,,,,,
4.9587,1.7423,0.0,,,,,,
0.0,0.0,0.8418,,,,,,
0.2876,0.0,0.8682,1206.26,0.8,0.75,0.78,0.05,0.0693
0.0,0.2947,3.4904,,,,,,
,,,,,,,,
10.0,1.7719,0.0,,,,,,
0.2984,0.2989,0.8844,,,,,,
0.5902,0.0,0.7886,1198.28,0.8,0.72,0.76,0.08,0.0947
0.2948,0.279,3.5734,,,,,,
,,,,,,,,
4.9897,1.7739,0.0,,,,,,
0.2986,0.8716,0.8757,,,,,,
0.2869,0.0,2.6432,1204.02,0.8,0.75,0.78,0.05,0.0942
0.2937,1.1745,3.5294,,,,,,
,,,,,,,,
10.0,1.7688,0.8938,,,,,,
0.2799,0.0,0.8645,,,,,,
0.0,0.0,0.888,1198.69,0.8,0.72,0.76,0.08,0.0901
0.0,0.5918,3.5767,,,,,,
,,,,,,,,
7.7217,1.4895,2.6835,,,,,,
