FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.8562,5.9629,13.7723,,,,,,
4.3786,3.1239,9.1508,,,,,,
3.5266,2.1854,2.5826,1071.22,0.93,0.84,0.89,0.09,0.2723
2.0326,2.7932,6.0368,,,,,,
,,,,,,,,
2.5263,3.6557,4.4821,,,,,,
1.4157,2.5983,2.5673,,,,,,
2.1984,0.6691,1.9376,1082.43,0.78,0.74,0.76,0.04,0.1842
1.0399,1.3666,7.7907,,,,,,
1.7623,3.3197,7.5071,,,,,,
,,,,,,,,
2.1191,4.4317,7.4056,,,,,,
0.8934,0.6032,3.3409,1053.62,0.85,0.79,0.82,0.06,0.184
,,,,,,,,
2.0645,4.0023,5.7587,,,,,,
0.8325,0.8385,3.1579,1051.52,0.81,0.74,0.78,0.07,0.1708
,,,,,,,,
3.2565,2.6064,5.3053,,,,,,
1.1108,0.9996,2.4723,1052.0,0.81,0.74,0.78,0.07,0.1717
,,,,,,,,
4.2655,1.7145,3.5113,,,,,,
1.1137,0.2112,2.1342,1053.23,0.78,0.74,0.76,0.04,0.1499
,,,,,,,,
3.1137,3.7915,3.2778,1038.63,0.81,0.74,0.78,0.07,0.2514
,,,,,,,,
3.9924,1.7683,4.3134,1039.94,0.74,0.79,0.77,0.05,0.234
,,,,,,,,
3.598,1.7913,4.1276,1040.18,0.74,0.79,0.77,0.05,0.2203
,,,,,,,,
3.6531,2.1016,3.5421,1040.03,0.78,0.74,0.76,0.04,0.2245
,,,,,,,,
3.8132,2.6308,5.7921,,,,,,
0.2893,0.7604,2.1556,1054.22,0.85,0.79,0.82,0.06,0.1641
,,,,,,,,
3.7126,3.3834,6.1485,1038.97,0.85,0.79,0.82,0.06,0.2914
,,,,,,,,
3.6955,3.0427,4.266,,,,,,
0.8455,0.5592,3.6231,1065.3,0.78,0.79,0.79,0.01,0.1551
2.2938,0.6866,1.6985,,,,,,
,,,,,,,,
3.7469,1.9237,3.1781,1040.61,0.78,0.74,0.76,0.04,0.2182
