FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
2.7804,4.4402,11.2,,,,,,
3.1854,0.9854,9.6454,,,,,,
1.6244,1.5045,2.8372,1083.82,0.82,0.9,0.86,0.08,0.2369
1.4837,3.1236,10.1144,,,,,,
3.999,2.3283,0.5148,,,,,,
,,,,,,,,
4.6586,3.2029,3.9868,,,,,,
1.2115,0.6037,0.9265,1058.32,0.88,0.95,0.92,0.07,0.1817
,,,,,,,,
3.319,4.1381,7.4685,,,,,,
0.6308,1.583,1.9597,1054.46,0.82,0.9,0.86,0.08,0.2071
,,,,,,,,
4.3783,3.7402,7.1738,1044.44,0.91,1.0,0.96,0.09,0.3355
,,,,,,,,
3.5456,4.1868,5.6787,1040.5,0.82,0.9,0.86,0.08,0.3085
,,,,,,,,
3.5067,4.3186,3.1164,,,,,,
1.7546,0.5631,1.7325,1055.72,0.82,0.9,0.86,0.08,0.1894
,,,,,,,,
4.6355,4.0138,5.2283,,,,,,
0.7843,0.5845,1.8992,1059.58,0.91,1.0,0.96,0.09,0.1985
,,,,,,,,
3.2724,4.819,6.5191,,,,,,
1.0967,1.4057,3.1246,,,,,,
1.5152,1.1877,3.058,1089.75,0.85,0.9,0.88,0.05,0.1538
2.03,0.5466,1.9911,,,,,,
0.6682,1.8433,0.9427,,,,,,
,,,,,,,,
2.488,10.0,9.0173,,,,,,
2.1184,0.733,2.3602,1051.74,0.82,0.9,0.86,0.08,0.2646
,,,,,,,,
2.7338,5.6083,8.1835,,,,,,
0.802,0.4692,0.8621,1054.99,0.82,0.9,0.86,0.08,0.2007
,,,,,,,,
2.3973,5.7941,9.6743,1038.54,0.82,0.9,0.86,0.08,0.3579
,,,,,,,,
3.098,5.4686,4.3362,1040.04,0.82,0.9,0.86,0.08,0.3161
,,,,,,,,
2.6675,5.0814,8.887,1039.28,0.82,0.9,0.86,0.08,0.3405
,,,,,,,,
2.5155,6.0881,9.5004,1038.48,0.82,0.9,0.86,0.08,0.367
,,,,,,,,
2.8261,4.7337,7.1843,,,,,,
1.6932,0.233,3.4177,1054.69,0.82,0.9,0.86,0.08,0.2104
,,,,,,,,
3.2218,5.6846,6.8142,,,,,,
2.3266,1.2904,4.1712,1055.25,0.85,0.9,0.88,0.05,0.2586
,,,,,,,,
3.1942,5.4032,5.259,,,,,,
1.1491,1.0711,0.8339,1054.81,0.82,0.9,0.86,0.08,0.2052
,,,,,,,,
3.1069,6.4997,6.5109,1038.28,0.82,0.9,0.86,0.08,0.3646
,,,,,,,,
2.7715,3.1462,10.2651,1037.13,0.74,0.81,0.78,0.07,0.2992
,,,,,,,,
4.596,0.5828,6.1138,1040.86,0.74,0.76,0.75,0.02,0.2312
,,,,,,,,
3.4371,3.4746,1.4811,1039.77,0.74,0.81,0.78,0.07,0.2371
,,,,,,,,
3.4582,3.2527,3.0576,1040.58,0.76,0.81,0.79,0.05,0.2485
,,,,,,,,
3.5705,3.1131,3.4139,1039.14,0.74,0.81,0.78,0.07,0.2515
,,,,,,,,
3.2634,5.4119,4.1165,1043.14,0.85,0.9,0.88,0.05,0.3172
,,,,,,,,
4.6778,3.5318,5.7643,,,,,,
1.9043,0.6251,0.0,1062.13,0.94,1.0,0.97,0.06,0.2031
,,,,,,,,
3.4936,4.3847,0.7762,1041.19,0.79,0.86,0.82,0.07,0.2584
,,,,,,,,
3.4374,2.9729,8.7239,1038.88,0.76,0.81,0.79,0.05,0.3
,,,,,,,,
3.4305,3.6319,0.8479,1039.94,0.74,0.81,0.78,0.07,0.2346
,,,,,,,,
3.4482,3.1885,3.4241,1042.56,0.79,0.81,0.8,0.02,0.2503
,,,,,,,,
4.1428,4.2683,5.8989,,,,,,
1.8805,0.7413,1.6732,1059.58,0.91,1.0,0.96,0.09,0.2181
,,,,,,,,
3.3411,3.4768,2.6099,1039.46,0.74,0.81,0.78,0.07,0.2468
,,,,,,,,
4.8267,3.6645,1.7509,1046.77,0.91,1.0,0.96,0.09,0.2865
,,,,,,,,
3.4928,3.256,1.756,1040.77,0.74,0.76,0.75,0.02,0.2351
,,,,,,,,
5.6099,3.6923,2.312,1045.63,0.91,1.0,0.96,0.09,0.315
,,,,,,,,
4.7931,3.698,2.4604,1046.46,0.91,1.0,0.96,0.09,0.2944
,,,,,,,,
5.4685,3.4897,0.8503,1046.67,0.91,1.0,0.96,0.09,0.289
,,,,,,,,
4.9058,3.6816,3.3938,1046.0,0.91,1.0,0.96,0.09,0.3076
,,,,,,,,
5.1336,3.7056,1.7708,1046.35,0.91,1.0,0.96,0.09,0.2968
,,,,,,,,
4.9188,2.6437,0.0,1041.33,0.76,0.81,0.79,0.05,0.2388
,,,,,,,,
6.9694,3.224,1.6273,1044.1,0.88,0.95,0.92,0.07,0.3214
,,,,,,,,
4.7022,2.9243,0.0,1041.96,0.79,0.86,0.82,0.07,0.241
,,,,,,,,
5.5255,2.6495,0.0,1040.73,0.76,0.81,0.79,0.05,0.2555
,,,,,,,,
5.6723,2.6165,0.0,1040.62,0.76,0.81,0.79,0.05,0.2582
,,,,,,,,
10.0,3.7338,1.7558,1043.72,0.91,1.0,0.96,0.09,0.3627
,,,,,,,,
6.0112,3.6432,0.8958,1046.02,0.91,1.0,0.96,0.09,0.3071
,,,,,,,,
10.0,3.8037,0.8939,1044.09,0.91,1.0,0.96,0.09,0.3553
,,,,,,,,
10.0,2.6591,0.0,1038.45,0.76,0.81,0.79,0.05,0.3107
,,,,,,,,
10.0,3.2697,0.8725,1043.54,0.88,0.95,0.92,0.07,0.3389
,,,,,,,,
10.0,3.82,0.8758,1044.08,0.91,1.0,0.96,0.09,0.3556
,,,,,,,,
10.0,3.2576,0.8624,1043.49,0.88,0.95,0.92,0.07,0.3384
,,,,,,,,
10.0,3.2701,0.8206,1043.57,0.88,0.95,0.92,0.07,0.3383
,,,,,,,,
10.0,3.2528,2.6047,1042.8,0.88,0.95,0.92,0.07,0.3576
,,,,,,,,
10.0,3.8018,1.7376,1043.72,0.91,1.0,0.96,0.09,0.3646
,,,,,,,,
10.0,3.8176,0.8939,1044.07,0.91,1.0,0.96,0.09,0.3557
,,,,,,,,
4.6744,2.6451,0.0,1041.54,0.76,0.81,0.79,0.05,0.2317
,,,,,,,,
10.0,3.7687,1.7906,1043.73,0.91,1.0,0.96,0.09,0.3642
,,,,,,,,
10.0,2.6546,0.0,1038.53,0.76,0.81,0.79,0.05,0.3105
,,,,,,,,
3.4457,3.4438,2.4382,1041.0,0.76,0.81,0.79,0.05,0.247
,,,,,,,,
10.0,3.7442,1.7757,1043.77,0.91,1.0,0.96,0.09,0.3633
,,,,,,,,
7.6604,2.3373,0.0,1037.88,0.74,0.81,0.78,0.07,0.2863
,,,,,,,,
10.0,3.8203,0.8286,1044.1,0.91,1.0,0.96,0.09,0.355
,,,,,,,,
10.0,3.2537,0.8906,1043.56,0.88,0.95,0.92,0.07,0.3386
,,,,,,,,
10.0,3.7757,1.6365,1043.72,0.91,1.0,0.96,0.09,0.3627
,,,,,,,,
10.0,3.7704,2.5978,1043.37,0.91,1.0,0.96,0.09,0.3732
,,,,,,,,
10.0,3.2363,3.494,1044.47,0.91,0.95,0.93,0.04,0.367
,,,,,,,,
3.2948,4.5011,2.6262,,,,,,
1.4424,0.2977,0.8699,1054.72,0.79,0.86,0.82,0.07,0.172
,,,,,,,,
10.0,3.2355,1.6561,1043.17,0.88,0.95,0.92,0.07,0.3465
,,,,,,,,
3.1816,7.3455,6.4613,,,,,,
1.2619,0.4269,5.0863,,,,,,
1.0126,0.2491,5.1713,1072.67,0.82,0.9,0.86,0.08,0.1814
1.0654,1.0106,5.5283,,,,,,
,,,,,,,,
10.0,3.7828,2.6375,1043.14,0.91,1.0,0.96,0.09,0.374
,,,,,,,,
