FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
3.1376,4.2088,11.7279,,,,,,
1.1283,-0.3389,9.909,,,,,,
2.327,1.556,-0.073,1075.18,0.82,0.9,0.86,0.08,0.1645
-0.1394,2.4866,3.0238,,,,,,
1.3266,-0.0261,-1.9175,,,,,,
,,,,,,,,
3.5639,3.1431,4.6195,,,,,,
2.8675,1.5914,2.5273,,,,,,
1.1768,0.1779,1.6491,1065.94,0.76,0.81,0.79,0.05,0.1418
0.5848,0.7767,1.8067,,,,,,
,,,,,,,,
9.2242,3.3281,4.2509,,,,,,
0.8882,0.2507,2.4985,1067.48,0.91,1.0,0.96,0.09,0.1503
0.2312,0.0,0.0,,,,,,
,,,,,,,,
4.5667,4.2271,3.9185,,,,,,
1.1451,1.3533,0.76,,,,,,
0.5628,0.8869,0.8756,1083.92,0.91,1.0,0.96,0.09,0.1016
0.2945,0.2887,0.0,,,,,,
0.2885,0.0,0.8937,,,,,,
,,,,,,,,
3.1667,4.3075,7.7143,,,,,,
0.0,0.2685,0.3336,1054.02,0.82,0.9,0.86,0.08,0.1675
,,,,,,,,
4.5804,3.3001,4.7232,,,,,,
1.1257,0.2961,0.4116,,,,,,
0.0,0.2907,1.7117,1075.51,0.88,0.95,0.92,0.07,0.0978
0.2738,0.0,0.0,,,,,,
,,,,,,,,
4.7546,3.6467,2.3417,,,,,,
1.5642,0.8489,0.0,1058.74,0.91,1.0,0.96,0.09,0.1853
,,,,,,,,
3.5187,3.4706,1.615,,,,,,
0.2884,0.0,1.4772,1060.39,0.74,0.81,0.78,0.07,0.0921
0.2837,0.0,0.0,,,,,,
,,,,,,,,
4.094,4.859,2.2897,,,,,,
0.5508,0.5664,0.0,1059.4,0.91,1.0,0.96,0.09,0.1719
,,,,,,,,
5.1988,3.648,3.2472,,,,,,
1.134,0.5776,0.0,1058.74,0.91,1.0,0.96,0.09,0.1851
,,,,,,,,
3.5653,3.569,0.8865,,,,,,
0.5719,0.2964,0.0,1051.35,0.74,0.81,0.78,0.07,0.133
,,,,,,,,
5.4231,3.2618,0.8649,,,,,,
1.1268,0.8581,0.0,1067.29,0.88,0.95,0.92,0.07,0.1222
0.0,0.2956,0.8685,,,,,,
,,,,,,,,
3.4946,3.6888,0.8985,,,,,,
0.812,0.0,1.7438,1060.09,0.74,0.81,0.78,0.07,0.0981
0.2682,0.0,0.0,,,,,,
,,,,,,,,
4.8213,3.6509,1.7606,,,,,,
0.2922,0.0,1.7101,1069.6,0.91,1.0,0.96,0.09,0.108
0.0,0.0,0.8266,,,,,,
,,,,,,,,
3.399,3.4625,2.5731,,,,,,
0.0,0.2864,0.872,1052.72,0.76,0.81,0.79,0.05,0.1335
,,,,,,,,
5.2473,3.2445,1.5231,,,,,,
0.847,0.5082,0.8799,1067.29,0.88,0.95,0.92,0.07,0.1222
0.8592,0.0,0.0,,,,,,
,,,,,,,,
4.7825,3.7148,0.8869,,,,,,
0.2779,0.0,1.6574,,,,,,
0.8817,0.2969,0.0,1085.4,0.91,1.0,0.96,0.09,0.0719
0.0,0.0,0.8066,,,,,,
0.0,0.0,0.5968,,,,,,
,,,,,,,,
4.4966,4.8656,2.5771,,,,,,
0.7664,0.5381,1.4101,,,,,,
0.4368,0.5283,1.2956,1083.74,0.91,1.0,0.96,0.09,0.1051
1.08,0.0,0.6625,,,,,,
0.0,0.5088,3.4097,,,,,,
,,,,,,,,
0.2932,1.1513,16.0766,1041.08,0.85,0.76,0.8,0.09,0.2025
,,,,,,,,
0.2795,0.2475,2.5859,,,,,,
1.1438,2.3176,14.7131,1050.37,0.74,0.81,0.78,0.07,0.1525
,,,,,,,,
0.1964,0.2928,0.0,,,,,,
0.2575,1.6313,15.8091,1053.82,0.76,0.76,0.76,0.0,0.1157
,,,,,,,,
0.0,1.8615,16.0284,1041.23,0.82,0.76,0.79,0.06,0.2154
,,,,,,,,
3.9271,1.9016,6.5728,,,,,,
0.7362,1.268,0.2192,,,,,,
0.0798,1.02,3.6593,1072.79,0.74,0.76,0.75,0.02,0.1281
-0.0689,0.7119,2.5058,,,,,,
0.4209,-2.0199,10.5838,,,,,,
,,,,,,,,
10.0,3.2237,1.5566,,,,,,
0.2718,0.0,0.0,1057.54,0.88,0.95,0.92,0.07,0.1771
,,,,,,,,
6.651,3.774,2.6182,,,,,,
0.257,0.0,0.0,1059.2,0.91,1.0,0.96,0.09,0.1761
,,,,,,,,
10.0,3.7875,0.8871,,,,,,
0.2956,0.0,0.0,1058.88,0.91,1.0,0.96,0.09,0.1823
,,,,,,,,
4.5996,4.3582,0.0,,,,,,
0.5601,0.0,0.8585,1062.06,0.94,1.0,0.97,0.06,0.1548
,,,,,,,,
10.0,3.2377,1.5714,1042.11,0.88,0.95,0.92,0.07,0.3457
,,,,,,,,
10.0,3.2274,1.7747,,,,,,
0.2833,0.0,0.0,1057.48,0.88,0.95,0.92,0.07,0.1785
,,,,,,,,
3.1049,5.5027,4.8035,,,,,,
0.8868,1.1548,0.0,1062.55,0.82,0.9,0.86,0.08,0.133
0.0,0.0,0.7944,,,,,,
,,,,,,,,
5.8658,3.7307,3.3671,,,,,,
0.2984,0.0,0.8842,1059.16,0.91,1.0,0.96,0.09,0.1769
,,,,,,,,
10.0,3.1991,3.5228,1042.89,0.91,0.95,0.93,0.04,0.3662
,,,,,,,,
7.1998,3.6576,2.6723,,,,,,
0.2914,0.2979,0.8916,1058.52,0.91,1.0,0.96,0.09,0.1896
,,,,,,,,
8.1771,3.7573,2.686,,,,,,
0.0,0.0,1.7727,1058.36,0.91,1.0,0.96,0.09,0.1927
,,,,,,,,
3.9428,4.9695,3.3433,,,,,,
0.5821,0.0,0.8789,,,,,,
0.565,0.0,0.8752,1077.19,0.91,1.0,0.96,0.09,0.0961
0.2922,0.0,0.0,,,,,,
,,,,,,,,
10.0,3.7917,0.8896,,,,,,
1.1785,0.2942,0.7922,,,,,,
0.0,0.2821,0.8966,1076.35,0.91,1.0,0.96,0.09,0.113
0.2918,0.0,0.8983,,,,,,
,,,,,,,,
10.0,3.7859,1.7902,,,,,,
0.2948,0.0,1.7624,1067.94,0.91,1.0,0.96,0.09,0.1412
0.0,0.2966,1.7602,,,,,,
,,,,,,,,
10.0,3.2013,3.5271,,,,,,
0.0,0.0,0.8895,1068.6,0.91,0.95,0.93,0.04,0.132
0.0,0.0,1.7896,,,,,,
,,,,,,,,
10.0,3.2293,2.6466,,,,,,
0.0,0.0,0.7654,,,,,,
0.2957,0.0,0.8959,1075.33,0.88,0.95,0.92,0.07,0.1014
0.0,0.0,1.7795,,,,,,
,,,,,,,,
10.0,1.1647,4.3212,,,,,,
0.4976,0.2856,0.0,,,,,,
0.5887,0.0,0.0,1074.94,0.74,0.81,0.78,0.07,0.0812
0.2936,0.0,0.0,,,,,,
0.2929,0.891,0.0,,,,,,
,,,,,,,,
5.6045,3.7331,1.757,,,,,,
0.888,0.0,0.0,,,,,,
0.8897,0.0,0.0,1077.02,0.91,1.0,0.96,0.09,0.0995
0.2938,0.2919,0.833,,,,,,
,,,,,,,,
8.8459,3.7617,0.8957,,,,,,
0.566,0.0,0.0,1068.66,0.91,1.0,0.96,0.09,0.1268
0.0,0.0,0.89,,,,,,
,,,,,,,,
6.7781,3.4922,2.6032,,,,,,
0.2977,0.0,0.889,,,,,,
0.0,0.2988,0.8922,1076.54,0.91,1.0,0.96,0.09,0.1014
0.2935,0.2888,0.8314,,,,,,
,,,,,,,,
5.2395,3.2444,1.7638,,,,,,
0.0,0.0,0.8729,1067.96,0.88,0.95,0.92,0.07,0.1048
0.2942,0.2817,0.0,,,,,,
,,,,,,,,
7.0578,3.5103,0.881,,,,,,
0.0,0.0,0.8866,1069.12,0.91,1.0,0.96,0.09,0.1175
0.0,0.2911,0.888,,,,,,
,,,,,,,,
10.0,3.2378,1.7698,,,,,,
0.0,0.0,0.8947,1067.28,0.88,0.95,0.92,0.07,0.1225
0.0,0.0,0.881,,,,,,
,,,,,,,,
10.0,3.2406,3.4771,,,,,,
0.0,0.5692,0.0,,,,,,
0.2995,0.0,0.0,1076.75,0.91,0.95,0.93,0.04,0.1014
0.0,0.0,0.8816,,,,,,
,,,,,,,,
10.0,3.2324,2.6742,,,,,,
0.2938,0.2985,0.8722,,,,,,
0.276,0.0,0.0,1075.34,0.88,0.95,0.92,0.07,0.1013
0.2699,0.0,0.0,,,,,,
,,,,,,,,
4.3686,3.6584,3.5248,,,,,,
0.2583,0.0,1.7821,1058.37,0.88,0.95,0.92,0.07,0.1606
,,,,,,,,
10.0,3.2106,3.5361,,,,,,
0.2988,0.0,0.8813,1068.6,0.91,0.95,0.93,0.04,0.1321
0.299,0.0,0.0,,,,,,
,,,,,,,,
4.6693,1.4373,3.5355,,,,,,
0.8835,0.2464,0.7661,,,,,,
0.0,0.2927,1.684,1067.68,0.74,0.81,0.78,0.07,0.0863
0.2816,0.5831,0.8389,,,,,,
,,,,,,,,
10.0,3.1968,3.4209,,,,,,
0.0,0.0,0.7299,,,,,,
0.0,0.0,0.8589,1077.3,0.91,0.95,0.93,0.04,0.0981
0.0,0.0,0.8882,,,,,,
,,,,,,,,
8.9358,3.8185,0.8578,,,,,,
1.1325,0.0,0.8862,1068.15,0.91,1.0,0.96,0.09,0.1369
0.0,0.0,0.8939,,,,,,
,,,,,,,,
10.0,3.7213,0.8618,,,,,,
0.0,0.2981,0.8821,1068.15,0.91,1.0,0.96,0.09,0.1369
0.5914,0.5678,0.0,,,,,,
,,,,,,,,
4.6701,3.5535,0.8895,,,,,,
0.2886,0.0,0.0,,,,,,
0.5811,0.0,0.6499,1077.93,0.91,1.0,0.96,0.09,0.0813
0.2974,0.298,0.0,,,,,,
,,,,,,,,
10.0,3.765,1.7838,,,,,,
0.5815,0.5708,0.8444,1067.97,0.91,1.0,0.96,0.09,0.1406
0.2986,0.0,0.0,,,,,,
,,,,,,,,
3.4783,3.5282,0.8953,,,,,,
0.5966,0.0,0.8442,1051.43,0.74,0.81,0.78,0.07,0.1313
,,,,,,,,
7.6723,3.2322,0.0,,,,,,
0.5854,0.8738,0.8959,,,,,,
0.2936,0.2982,0.8862,1075.14,0.88,0.95,0.92,0.07,0.1053
0.2969,0.2938,0.0,,,,,,
