FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.651,2.2856,3.5552,,,,,,
0.6707,3.705,7.4457,,,,,,
0.3081,1.0461,9.1851,1166.88,0.72,0.78,0.75,0.06,0.1848
2.8621,3.3264,4.2876,,,,,,
,,,,,,,,
2.5957,3.2854,7.0344,1101.24,0.72,0.78,0.75,0.06,0.2631
,,,,,,,,
0.7921,3.1749,13.7719,1108.54,0.76,0.78,0.77,0.02,0.264
,,,,,,,,
2.1484,2.9383,11.021,1107.98,0.76,0.76,0.76,0.0,0.2772
,,,,,,,,
1.832,3.514,9.9989,1104.38,0.74,0.78,0.76,0.04,0.2753
,,,,,,,,
2.0413,3.4127,9.3792,1107.84,0.76,0.76,0.76,0.0,0.2731
,,,,,,,,
1.5156,4.3753,5.8746,1106.6,0.74,0.81,0.78,0.07,0.2484
,,,,,,,,
2.3433,3.6066,8.7465,1106.51,0.76,0.78,0.77,0.02,0.282
,,,,,,,,
2.0527,3.9908,7.005,1102.47,0.72,0.81,0.77,0.09,0.2666
,,,,,,,,
1.3676,4.8102,7.0882,1104.84,0.74,0.78,0.76,0.04,0.2688
,,,,,,,,
1.3482,3.5338,10.6935,1106.28,0.77,0.74,0.76,0.03,0.2668
,,,,,,,,
1.1246,3.5955,10.2283,1107.48,0.77,0.74,0.76,0.03,0.2573
,,,,,,,,
1.8965,3.6862,8.8658,1108.76,0.76,0.78,0.77,0.02,0.2717
,,,,,,,,
1.6959,2.0684,13.9359,1106.9,0.76,0.74,0.75,0.02,0.2612
,,,,,,,,
1.3024,2.6485,14.5235,1105.5,0.78,0.74,0.76,0.04,0.2707
,,,,,,,,
0.8215,3.4879,13.0387,1110.04,0.76,0.79,0.78,0.03,0.2682
,,,,,,,,
0.8451,2.4369,15.2551,1107.81,0.79,0.74,0.77,0.05,0.2551
,,,,,,,,
1.0477,3.3004,12.8942,1108.66,0.76,0.75,0.76,0.01,0.2689
,,,,,,,,
0.5217,3.2813,13.4785,1110.85,0.76,0.76,0.76,0.0,0.2559
,,,,,,,,
0.0,3.3166,14.7448,1107.94,0.74,0.78,0.76,0.04,0.2495
,,,,,,,,
0.0,3.0695,15.5298,1109.88,0.77,0.75,0.76,0.02,0.248
,,,,,,,,
0.5808,1.9135,16.0223,1106.17,0.81,0.72,0.77,0.09,0.2359
,,,,,,,,
0.0,1.8615,16.9999,1109.0,0.83,0.74,0.78,0.09,0.2211
,,,,,,,,
0.5927,2.5917,18.5065,1114.95,0.9,0.81,0.85,0.09,0.2717
,,,,,,,,
0.0,2.4381,15.9478,1104.42,0.79,0.71,0.75,0.08,0.232
,,,,,,,,
0.0,2.7404,16.365,1106.97,0.83,0.74,0.78,0.09,0.2437
,,,,,,,,
0.2627,2.0069,18.5942,1114.48,0.88,0.79,0.83,0.09,0.2436
,,,,,,,,
0.0,0.575,19.7071,1123.0,0.87,0.81,0.84,0.06,0.1956
,,,,,,,,
0.5847,0.5724,19.6235,1120.4,0.88,0.81,0.84,0.07,0.2144
,,,,,,,,
0.2962,0.875,19.4513,1120.45,0.88,0.81,0.84,0.07,0.2139
,,,,,,,,
0.278,2.0108,19.1732,1119.83,0.88,0.82,0.85,0.06,0.2474
,,,,,,,,
0.2896,0.7686,19.6733,1120.67,0.88,0.81,0.84,0.07,0.2114
,,,,,,,,
0.2926,0.2947,19.1163,1115.44,0.84,0.76,0.8,0.08,0.1929
,,,,,,,,
0.0,0.2762,18.7051,1112.67,0.83,0.74,0.78,0.09,0.1803
,,,,,,,,
0.2949,0.8553,19.4779,1120.49,0.88,0.81,0.84,0.07,0.2134
,,,,,,,,
0.0,0.2916,19.1172,1113.92,0.84,0.75,0.79,0.09,0.1831
,,,,,,,,
0.0,0.8874,20.1111,1127.61,0.88,0.85,0.86,0.03,0.2077
,,,,,,,,
0.0,0.0,19.2235,1114.74,0.84,0.75,0.79,0.09,0.174
,,,,,,,,
0.0,0.2802,19.8065,1123.24,0.86,0.81,0.83,0.05,0.1862
,,,,,,,,
0.0,0.8798,19.2951,1116.59,0.87,0.78,0.82,0.09,0.2034
,,,,,,,,
0.0,0.2977,19.8782,1123.15,0.86,0.81,0.83,0.05,0.1872
,,,,,,,,
0.0,0.0,19.1633,1114.78,0.84,0.75,0.79,0.09,0.1736
,,,,,,,,
0.0,0.0,19.2493,1114.73,0.84,0.75,0.79,0.09,0.1741
,,,,,,,,
0.2933,0.2979,19.2812,1115.35,0.84,0.76,0.8,0.08,0.1939
,,,,,,,,
0.0,0.5828,19.8662,1122.91,0.87,0.81,0.84,0.06,0.1966
,,,,,,,,
0.2801,0.5147,19.8867,1121.66,0.86,0.81,0.83,0.05,0.2038
,,,,,,,,
0.0,1.1453,19.2395,1115.85,0.87,0.78,0.82,0.09,0.2117
,,,,,,,,
0.0,0.2963,19.3806,1118.59,0.85,0.78,0.81,0.07,0.1846
,,,,,,,,
0.0,0.0,19.1689,1114.77,0.84,0.75,0.79,0.09,0.1737
,,,,,,,,
0.0,0.286,19.4486,1120.99,0.85,0.79,0.82,0.06,0.1846
,,,,,,,,
0.0,0.59,19.5285,1119.73,0.87,0.79,0.83,0.08,0.1952
