FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
-0.3331,0.8522,-1.6985,,,,,,
-0.3563,0.5054,-0.2541,,,,,,
0.5151,0.4746,0.301,1215.53,0.91,0.83,0.87,0.08,0.0863
-0.9091,-1.2442,0.8322,,,,,,
1.6675,0.024,19.6663,,,,,,
,,,,,,,,
0.0,0.0,0.8528,,,,,,
0.0,0.0,0.2832,1164.27,0.78,0.75,0.77,0.03,0.0921
0.3984,4.0559,12.2204,,,,,,
,,,,,,,,
0.2759,0.2405,0.0,,,,,,
0.5672,0.7664,0.461,1156.19,0.79,0.71,0.75,0.08,0.1012
0.7858,1.7838,15.7823,,,,,,
,,,,,,,,
0.0,0.0,0.8379,,,,,,
0.4322,3.1097,14.257,1136.75,0.73,0.79,0.76,0.06,0.1317
,,,,,,,,
0.0,0.0,0.8686,,,,,,
0.0,0.2762,0.704,1162.08,0.76,0.74,0.75,0.02,0.0958
1.1171,2.8778,13.1377,,,,,,
,,,,,,,,
0.5706,0.2755,1.2173,,,,,,
0.2013,2.8833,15.1778,1141.03,0.76,0.76,0.76,0.0,0.1441
,,,,,,,,
0.192,1.0708,19.2151,1115.4,0.87,0.78,0.82,0.09,0.2156
,,,,,,,,
0.0,0.0,1.6263,,,,,,
1.427,1.8281,14.6786,1139.19,0.77,0.74,0.76,0.03,0.1346
,,,,,,,,
1.13,2.031,14.9791,1104.59,0.78,0.72,0.75,0.06,0.2501
,,,,,,,,
0.0,0.0,1.437,,,,,,
0.7652,2.0568,19.2315,1148.25,0.91,0.82,0.86,0.09,0.1406
,,,,,,,,
0.0,0.1179,0.7309,,,,,,
1.1116,1.8826,19.1221,1149.08,0.9,0.82,0.86,0.08,0.1413
,,,,,,,,
0.0,0.0,0.66,,,,,,
0.2897,2.3975,19.2336,1150.98,0.88,0.83,0.85,0.05,0.1336
,,,,,,,,
0.0,0.0,1.7238,,,,,,
0.5617,2.4963,15.5743,1138.3,0.78,0.74,0.76,0.04,0.1345
,,,,,,,,
0.0,0.0,0.7698,,,,,,
0.776,2.4119,15.4727,1139.2,0.79,0.74,0.77,0.05,0.1311
,,,,,,,,
0.4815,0.2931,2.5852,,,,,,
0.2504,2.7973,15.1691,1137.19,0.76,0.74,0.75,0.02,0.1501
,,,,,,,,
0.0,0.0,0.1843,,,,,,
0.5928,0.0,0.8919,1158.49,0.8,0.72,0.76,0.08,0.0923
1.0525,1.8941,15.2458,,,,,,
,,,,,,,,
0.0,0.0,1.7276,,,,,,
0.2939,3.4015,13.7479,1138.1100000000001,0.74,0.78,0.76,0.04,0.1366
,,,,,,,,
0.0,0.2785,0.8917,,,,,,
0.5203,2.599,15.4359,1138.09,0.78,0.74,0.76,0.04,0.1349
,,,,,,,,
0.0,0.0,0.866,,,,,,
1.4226,1.6978,15.1499,1138.3899999999999,0.8,0.74,0.77,0.06,0.1301
,,,,,,,,
0.0,0.0,0.8745,,,,,,
0.5227,2.9523,16.1836,1142.78,0.85,0.78,0.81,0.07,0.138
,,,,,,,,
1.0379,2.2325,14.6785,1104.51,0.78,0.72,0.75,0.06,0.251
,,,,,,,,
0.0,0.0,1.6516,,,,,,
0.0,0.2545,1.3309,1170.65,0.9,0.81,0.85,0.09,0.0945
0.847,1.2806,18.853,,,,,,
,,,,,,,,
0.0,0.0,1.7271,,,,,,
0.0745,2.8601,15.3669,1138.8899999999999,0.76,0.74,0.75,0.02,0.1312
,,,,,,,,
0.0,0.5425,0.0,,,,,,
0.2943,1.1004,20.2451,1156.57,0.9,0.85,0.88,0.05,0.1215
,,,,,,,,
0.0,0.0,1.548,,,,,,
0.4066,2.5059,18.8147,1150.01,0.9,0.83,0.86,0.07,0.141
,,,,,,,,
0.0,0.0,0.8446,,,,,,
0.8894,1.3208,18.9067,1147.96,0.9,0.81,0.85,0.09,0.1271
,,,,,,,,
0.0,0.0,0.7747,,,,,,
0.5889,1.7256,18.8777,1150.58,0.88,0.82,0.85,0.06,0.128
,,,,,,,,
0.2814,0.0,0.0,,,,,,
0.0,0.5125,0.833,1170.6399999999999,0.91,0.82,0.86,0.09,0.114
1.58,2.7267,18.2782,,,,,,
,,,,,,,,
0.2717,0.0,0.8057,,,,,,
1.0305,1.8733,15.7248,1134.8600000000001,0.8,0.72,0.76,0.08,0.1327
,,,,,,,,
0.0,0.0,0.8568,,,,,,
0.0,0.0,2.2317,1172.46,0.87,0.81,0.84,0.06,0.0905
0.2454,1.7595,18.9262,,,,,,
,,,,,,,,
0.0,3.0137,18.4081,1118.22,0.88,0.82,0.85,0.06,0.2641
,,,,,,,,
0.0,0.0,0.8712,,,,,,
0.0,2.8788,18.1503,1144.33,0.88,0.79,0.83,0.09,0.1341
,,,,,,,,
0.7204,2.594,14.9669,1107.88,0.76,0.74,0.75,0.02,0.2536
,,,,,,,,
0.0,2.0337,18.94,1115.02,0.88,0.79,0.83,0.09,0.2376
,,,,,,,,
0.2911,0.0,0.0,,,,,,
0.2839,1.39,19.3068,1145.65,0.88,0.79,0.83,0.09,0.1194
,,,,,,,,
0.283,0.0,0.0,,,,,,
0.8845,1.711,15.9125,1134.73,0.8,0.71,0.76,0.09,0.1241
,,,,,,,,
0.0,0.0,0.8884,,,,,,
0.0,0.8527,19.8942,1152.41,0.88,0.82,0.85,0.06,0.1077
,,,,,,,,
0.0,0.2971,19.385,1118.58,0.85,0.78,0.81,0.07,0.1847
,,,,,,,,
0.0,0.5828,19.4089,1119.81,0.87,0.79,0.83,0.08,0.1943
,,,,,,,,
0.0,1.451,19.3179,1116.45,0.88,0.79,0.83,0.09,0.2217
,,,,,,,,
0.0,0.0,0.8954,,,,,,
0.0,1.158,20.1688,1156.1,0.88,0.85,0.86,0.03,0.1133
,,,,,,,,
0.0,1.4627,19.1298,1115.0,0.87,0.78,0.82,0.09,0.2211
,,,,,,,,
0.4431,0.0,19.4211,1122.93,0.86,0.81,0.83,0.05,0.1897
,,,,,,,,
0.0,1.7001,19.1854,1116.72,0.87,0.79,0.83,0.08,0.2287
,,,,,,,,
0.0,0.8903,20.0004,1127.64,0.88,0.85,0.86,0.03,0.2073
,,,,,,,,
0.2972,0.5898,20.1813,1124.26,0.88,0.83,0.85,0.05,0.2082
,,,,,,,,
0.5909,0.5806,19.2925,1115.7,0.87,0.78,0.82,0.09,0.2133
,,,,,,,,
0.0,1.1629,19.2599,1115.78,0.87,0.78,0.82,0.09,0.2124
,,,,,,,,
0.2979,1.1729,19.1083,1114.94,0.87,0.78,0.82,0.09,0.2218
,,,,,,,,
0.0,0.0,19.3705,1116.18,0.85,0.76,0.8,0.09,0.1747
,,,,,,,,
0.0,0.2961,19.3438,1115.3,0.85,0.76,0.8,0.09,0.1844
,,,,,,,,
0.0,0.5879,19.4495,1119.78,0.87,0.79,0.83,0.08,0.1947
,,,,,,,,
0.0,0.0,0.8756,,,,,,
0.0,0.8887,19.4413,1150.06,0.88,0.81,0.84,0.07,0.1071
,,,,,,,,
0.0,1.4332,19.2398,1117.44,0.87,0.79,0.83,0.08,0.2207
,,,,,,,,
0.0,1.4761,19.4454,1122.92,0.88,0.83,0.85,0.05,0.2231
,,,,,,,,
0.289,0.2959,19.1707,1115.42,0.84,0.76,0.8,0.08,0.1931
,,,,,,,,
0.0,0.0,18.6198,1115.34,0.81,0.74,0.78,0.07,0.1707
,,,,,,,,
0.0,0.5865,19.4613,1119.78,0.87,0.79,0.83,0.08,0.1947
,,,,,,,,
0.0,0.5877,19.411,1119.79,0.87,0.79,0.83,0.08,0.1945
,,,,,,,,
0.2941,0.2949,19.3564,1114.42,0.85,0.76,0.8,0.09,0.1942
,,,,,,,,
0.0,0.0,18.5733,1112.06,0.81,0.72,0.77,0.09,0.1704
,,,,,,,,
0.0,0.8806,19.4789,1121.3,0.88,0.81,0.84,0.07,0.2044
,,,,,,,,
0.0,0.2911,18.5764,1112.69,0.83,0.74,0.78,0.09,0.1801
,,,,,,,,
0.0,0.587,20.1306,1126.08,0.87,0.83,0.85,0.04,0.198
,,,,,,,,
0.0,0.5937,19.3821,1117.39,0.87,0.78,0.82,0.09,0.1946
,,,,,,,,
0.2983,2.3409,15.8727,1103.83,0.79,0.71,0.75,0.08,0.2385
,,,,,,,,
0.0,0.882,19.4798,1121.3,0.88,0.81,0.84,0.07,0.2044
,,,,,,,,
0.0,0.2811,19.3495,1115.34,0.85,0.76,0.8,0.09,0.184
,,,,,,,,
0.0,0.8805,19.2685,1116.6,0.87,0.78,0.82,0.09,0.2033
,,,,,,,,
0.0,0.2905,19.3439,1115.31,0.85,0.76,0.8,0.09,0.1843
,,,,,,,,
0.0,0.2973,19.1822,1113.88,0.84,0.75,0.79,0.09,0.1836
,,,,,,,,
0.0,0.5967,19.4214,1119.76,0.87,0.79,0.83,0.08,0.1949
,,,,,,,,
0.0,0.5915,20.2083,1126.03,0.87,0.83,0.85,0.04,0.1985
,,,,,,,,
0.0,0.286,19.3549,1115.32,0.85,0.76,0.8,0.09,0.1842
,,,,,,,,
0.0,0.0,19.4517,1121.84,0.85,0.79,0.82,0.06,0.1751
,,,,,,,,
0.0,0.2985,18.5891,1112.66,0.83,0.74,0.78,0.09,0.1805
,,,,,,,,
0.299,0.5958,19.4195,1118.87,0.87,0.79,0.83,0.08,0.2048
,,,,,,,,
0.0,0.5915,20.1635,1126.05,0.87,0.83,0.85,0.04,0.1983
,,,,,,,,
0.2781,0.5884,20.1422,1125.24,0.87,0.83,0.85,0.04,0.2073
,,,,,,,,
0.2978,0.586,19.4138,1118.9,0.87,0.79,0.83,0.08,0.2044
,,,,,,,,
0.0,0.5937,20.1947,1126.03,0.87,0.83,0.85,0.04,0.1985
,,,,,,,,
0.0,0.5936,19.4861,1119.74,0.87,0.79,0.83,0.08,0.1951
,,,,,,,,
0.0,0.0,18.6175,1115.34,0.81,0.74,0.78,0.07,0.1707
,,,,,,,,
0.2827,0.2961,18.5946,1111.82,0.83,0.74,0.78,0.09,0.1898
,,,,,,,,
0.0,0.2987,19.4579,1120.94,0.85,0.79,0.82,0.06,0.1851
,,,,,,,,
0.0,0.2883,19.2759,1116.26,0.84,0.76,0.8,0.08,0.1838
,,,,,,,,
0.0,0.0,19.4368,1121.84,0.85,0.79,0.82,0.06,0.1751
,,,,,,,,
0.0,0.2984,19.264,1113.83,0.84,0.75,0.79,0.09,0.1841
,,,,,,,,
0.2786,1.1734,20.2142,1127.11,0.9,0.85,0.88,0.05,0.2266
,,,,,,,,
0.0,0.2973,18.6065,1112.66,0.83,0.74,0.78,0.09,0.1805
,,,,,,,,
0.0,0.0,18.6604,1113.52,0.83,0.74,0.78,0.09,0.1709
,,,,,,,,
0.0,0.289,0.844,,,,,,
0.0,0.5915,19.3968,1147.69,0.87,0.79,0.83,0.08,0.1068
,,,,,,,,
0.0,0.0,1.7733,,,,,,
0.5537,0.5974,20.2277,1152.04,0.9,0.83,0.86,0.07,0.1184
,,,,,,,,
4.7254,3.2329,0.8948,,,,,,
0.8806,0.298,0.8961,1168.22,0.8,0.89,0.84,0.09,0.1076
0.234,0.2991,0.0,,,,,,
,,,,,,,,
4.7019,2.06,0.8482,,,,,,
0.0,0.0,0.8939,1140.65,0.74,0.79,0.77,0.05,0.115
,,,,,,,,
4.407,2.6407,1.7031,,,,,,
0.2848,0.0,0.0,1159.67,0.73,0.82,0.77,0.09,0.0859
0.2892,0.0,0.0,,,,,,
,,,,,,,,
10.0,1.4532,2.6816,1107.81,0.77,0.76,0.77,0.01,0.2977
,,,,,,,,
5.2074,1.7875,0.8993,,,,,,
0.0,0.5853,0.0,1163.35,0.74,0.79,0.77,0.05,0.085
0.2803,0.0,0.0,,,,,,
,,,,,,,,
3.8267,3.2279,1.7423,1105.83,0.72,0.81,0.77,0.09,0.2397
,,,,,,,,
5.5067,2.0494,0.0,,,,,,
0.2872,0.0,0.0,1139.52,0.74,0.78,0.76,0.04,0.1209
,,,,,,,,
5.5669,2.0623,0.0,1109.33,0.74,0.78,0.76,0.04,0.2341
,,,,,,,,
4.7145,1.4888,4.3629,,,,,,
0.0,0.0,0.8923,1142.37,0.78,0.76,0.77,0.02,0.1259
,,,,,,,,
10.0,1.484,3.5403,,,,,,
0.0,0.0,0.8782,1139.99,0.79,0.76,0.78,0.03,0.159
,,,,,,,,
8.2015,2.0312,0.0,1105.39,0.74,0.78,0.76,0.04,0.2779
,,,,,,,,
0.2972,0.5901,1.6816,,,,,,
0.5929,0.0,0.8909,,,,,,
0.5936,0.0,0.0,1193.1,0.88,0.81,0.84,0.07,0.0733
0.297,0.2978,19.6203,,,,,,
,,,,,,,,
5.2846,1.4808,0.8941,1111.0,0.74,0.76,0.75,0.02,0.2189
,,,,,,,,
0.5964,0.8541,1.7821,,,,,,
0.0,0.0,19.4904,1148.29,0.9,0.81,0.85,0.09,0.1216
,,,,,,,,
10.0,2.0222,0.0,1104.71,0.74,0.78,0.76,0.04,0.2854
,,,,,,,,
8.5413,2.0505,0.0,1105.08,0.74,0.78,0.76,0.04,0.2813
,,,,,,,,
0.0,0.0,0.8923,,,,,,
0.0,1.1679,19.4698,1149.48,0.88,0.81,0.84,0.07,0.1117
,,,,,,,,
10.0,1.4607,2.5016,,,,,,
0.2922,0.0,0.0,1140.85,0.77,0.76,0.77,0.01,0.1528
,,,,,,,,
10.0,2.0395,0.0,1104.66,0.74,0.78,0.76,0.04,0.286
,,,,,,,,
4.7051,2.0438,0.8975,1111.18,0.74,0.79,0.77,0.05,0.2202
,,,,,,,,
0.0,0.0,0.8818,,,,,,
0.0,0.0,0.8541,1170.91,0.87,0.79,0.83,0.08,0.071
0.0,0.5632,19.4314,,,,,,
,,,,,,,,
10.0,2.0164,0.0,1104.73,0.74,0.78,0.76,0.04,0.2852
,,,,,,,,
9.3553,2.0661,0.0,,,,,,
0.2993,0.0,0.0,1137.09,0.74,0.78,0.76,0.04,0.1479
,,,,,,,,
2.0738,1.194,0.8947,,,,,,
0.0,0.0,0.892,1155.82,0.79,0.71,0.75,0.08,0.1027
0.0,1.1136,14.6903,,,,,,
,,,,,,,,
3.4799,1.781,0.8642,,,,,,
0.0,1.7304,11.1278,1129.59,0.79,0.71,0.75,0.08,0.1745
,,,,,,,,
0.8864,0.5852,0.8607,,,,,,
0.5805,0.0,0.0,1170.51,0.9,0.81,0.85,0.09,0.0939
0.2931,0.54,19.7263,,,,,,
,,,,,,,,
2.051,1.785,0.0,,,,,,
0.593,0.0,0.8983,,,,,,
0.291,0.0,0.0,1183.8600000000001,0.76,0.74,0.75,0.02,0.076
0.0,0.0,14.0937,,,,,,
,,,,,,,,
2.3313,0.8724,0.8793,,,,,,
0.2957,0.2858,0.0,1157.22,0.8,0.71,0.76,0.09,0.0965
0.0,0.2976,14.8702,,,,,,
,,,,,,,,
0.2931,0.0,0.0,,,,,,
0.0,0.8754,19.4213,1149.92,0.88,0.81,0.84,0.07,0.1068
,,,,,,,,
0.0,0.0,0.8855,,,,,,
0.0,0.5546,19.4584,1148.15,0.87,0.79,0.83,0.08,0.1017
,,,,,,,,
10.0,1.7559,0.8896,1104.55,0.74,0.78,0.76,0.04,0.2872
,,,,,,,,
0.2953,0.2942,0.0,,,,,,
0.2843,0.0,0.0,1172.7,0.88,0.81,0.84,0.07,0.0778
0.0,0.8842,19.43,,,,,,
,,,,,,,,
0.2967,0.0,0.876,,,,,,
0.0,1.1462,19.2307,1144.5,0.87,0.78,0.82,0.09,0.1156
,,,,,,,,
0.2951,0.8796,19.4297,1120.33,0.88,0.81,0.84,0.07,0.2139
,,,,,,,,
0.2989,0.0,0.0,,,,,,
0.0,0.0,0.8623,1179.19,0.88,0.85,0.86,0.03,0.079
0.0,1.1748,20.242,,,,,,
,,,,,,,,
0.0,0.0,0.8907,,,,,,
0.2807,2.3026,18.7908,1147.81,0.88,0.81,0.84,0.07,0.1321
,,,,,,,,
7.37,1.4679,1.7446,1109.59,0.76,0.76,0.76,0.0,0.2698
,,,,,,,,
0.0,0.0,0.8962,,,,,,
0.0,1.4275,19.0048,1144.59,0.87,0.78,0.82,0.09,0.1146
,,,,,,,,
0.0,0.863,19.9432,1124.22,0.88,0.83,0.85,0.05,0.2061
,,,,,,,,
0.0,0.5921,20.2162,1125.79,0.87,0.83,0.85,0.04,0.1986
,,,,,,,,
0.2934,0.0,0.0,,,,,,
0.0,0.5516,19.47,1148.15,0.87,0.79,0.83,0.08,0.1017
,,,,,,,,
0.28,1.1176,20.2532,1127.24,0.9,0.85,0.88,0.05,0.2251
,,,,,,,,
0.0,0.0,0.8836,,,,,,
0.0,0.5668,20.2584,1154.4,0.87,0.83,0.85,0.04,0.1039
,,,,,,,,
0.0,1.1505,19.5213,1120.38,0.88,0.81,0.84,0.07,0.2133
,,,,,,,,
10.0,1.745,0.8678,1104.48,0.74,0.78,0.76,0.04,0.2866
,,,,,,,,
2.3448,0.2897,0.887,,,,,,
0.0,0.0,0.8947,,,,,,
0.0,0.0,0.8869,1178.46,0.8,0.71,0.76,0.09,0.0772
0.0,1.4048,15.0854,,,,,,
,,,,,,,,
1.772,0.2987,0.8765,,,,,,
0.0,0.275,0.8838,1173.8899999999999,0.9,0.83,0.86,0.07,0.0979
0.0,0.5773,20.107,,,,,,
,,,,,,,,
0.0,0.0,0.6133,,,,,,
0.2697,0.59,19.5485,1147.8,0.87,0.79,0.83,0.08,0.1055
,,,,,,,,
0.2937,0.0,0.0,,,,,,
