age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,DiCE CF,DiCE Gower
47.0,2.0,306183.0,15.0,10.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,44.0,38.0,"['educational-num: 4.0', 'capital-gain: 29062.000']",0.345
26.0,2.0,303973.0,11.0,9.0,4.0,8.0,2.0,0.0,1.0,0.0,1602.0,15.0,25.0,"['capital-gain: 50198.000', 'hours-per-week: 8.000']",0.292
26.0,2.0,301298.0,15.0,10.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,50.0,38.0,"['capital-gain: 92950.000', 'hours-per-week: 2.000']",0.475
34.0,2.0,347166.0,15.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['educational-num: 12.0', 'hours-per-week: 8.000']",0.107
22.0,2.0,314525.0,9.0,13.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 28548.000', 'hours-per-week: -36.000']",0.326
31.0,2.0,363130.0,11.0,9.0,4.0,7.0,4.0,1.0,0.0,0.0,0.0,18.0,38.0,['capital-gain: 14966.000'],0.15
35.0,1.0,433602.0,11.0,9.0,4.0,11.0,3.0,1.0,0.0,0.0,0.0,38.0,38.0,"['educational-num: 3.0', 'capital-gain: 8609.000']",0.243
24.0,2.0,329530.0,6.0,5.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,"['educational-num: 6.0', 'capital-gain: 27460.000']",0.171
47.0,1.0,319205.0,15.0,10.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,40.0,38.0,['capital-gain: 8798.000'],0.088
72.0,3.0,473748.0,15.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0,"['educational-num: 12.0', 'capital-gain: 65549.000']",0.394
