age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,GFCF CF,GFCF Gower
29.0,2.0,78261.0,11.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
22.0,2.0,136873.0,15.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
38.0,2.0,100295.0,5.0,4.0,2.0,6.0,5.0,0.0,1.0,0.0,0.0,50.0,1.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
31.0,2.0,121321.0,1.0,7.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,51.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
46.0,4.0,115971.0,6.0,5.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
42.0,2.0,112451.0,11.0,9.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
25.0,2.0,135568.0,11.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
38.0,2.0,99138.0,9.0,13.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,38.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
52.0,4.0,77336.0,8.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
42.0,2.0,138872.0,11.0,9.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,99.0,38.0,"['capital-gain: 7632.0', 'hours-per-week: 6.0', 'educational-num: 0.0']",0.025
37.0,2.0,123833.0,15.0,10.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,60.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
35.0,2.0,135289.0,8.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,50.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
39.0,2.0,101782.0,11.0,9.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
21.0,5.0,82847.0,15.0,10.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,38.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
43.0,2.0,147510.0,9.0,13.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
32.0,2.0,41210.0,11.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
37.0,0.0,40955.0,15.0,10.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,40.0,23.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
68.0,2.0,107910.0,11.0,9.0,4.0,11.0,1.0,0.0,1.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
22.0,2.0,100587.0,15.0,10.0,4.0,7.0,3.0,1.0,1.0,0.0,0.0,15.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
32.0,2.0,130057.0,11.0,9.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,55.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
40.0,2.0,124520.0,8.0,11.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,50.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
39.0,0.0,135500.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
18.0,2.0,126913.0,15.0,10.0,4.0,7.0,3.0,0.0,1.0,0.0,0.0,12.0,38.0,,inf
26.0,2.0,76996.0,15.0,10.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,38.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
29.0,2.0,148550.0,11.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
43.0,2.0,84673.0,12.0,14.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,38.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
26.0,2.0,115717.0,15.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2051.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
63.0,2.0,84737.0,5.0,4.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,40.0,34.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
28.0,2.0,66473.0,11.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8233.0', 'hours-per-week: 0.0', 'educational-num: 0.0']",0.027
