age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,GFCF CF,GFCF Gower
29.0,2.0,78261.0,11.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
19.0,2.0,268524.0,15.0,10.0,4.0,11.0,3.0,0.0,1.0,0.0,0.0,15.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
36.0,1.0,192337.0,11.0,9.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
47.0,2.0,306183.0,15.0,10.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,44.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
42.0,2.0,155106.0,15.0,10.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,45.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
22.0,2.0,136873.0,15.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
17.0,2.0,153542.0,0.0,6.0,4.0,11.0,3.0,0.0,1.0,0.0,0.0,20.0,38.0,,inf
25.0,2.0,210148.0,11.0,9.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
45.0,2.0,172822.0,11.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,52.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
38.0,2.0,289448.0,12.0,14.0,4.0,9.0,4.0,1.0,1.0,0.0,0.0,40.0,2.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
38.0,2.0,100295.0,5.0,4.0,2.0,6.0,5.0,0.0,1.0,0.0,0.0,50.0,1.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
20.0,2.0,236592.0,2.0,8.0,4.0,9.0,1.0,0.0,1.0,0.0,0.0,35.0,21.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
31.0,2.0,121321.0,1.0,7.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,51.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
46.0,4.0,115971.0,6.0,5.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
33.0,2.0,159322.0,11.0,9.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
48.0,2.0,151584.0,11.0,9.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,46.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
42.0,2.0,112451.0,11.0,9.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
25.0,2.0,135568.0,11.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
22.0,2.0,254293.0,2.0,8.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
38.0,2.0,99138.0,9.0,13.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,38.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
52.0,4.0,77336.0,8.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
42.0,2.0,138872.0,11.0,9.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,99.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.028
26.0,2.0,303973.0,11.0,9.0,4.0,8.0,2.0,0.0,1.0,0.0,1602.0,15.0,25.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
35.0,2.0,283122.0,15.0,10.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,45.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
56.0,1.0,157525.0,15.0,10.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,48.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
55.0,2.0,173422.0,15.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
37.0,2.0,123833.0,15.0,10.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,60.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
26.0,2.0,301298.0,15.0,10.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,50.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
33.0,2.0,283268.0,9.0,13.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
35.0,2.0,135289.0,8.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,50.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
34.0,2.0,347166.0,15.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
39.0,2.0,101782.0,11.0,9.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
28.0,2.0,278736.0,2.0,8.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,40.0,25.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
21.0,5.0,82847.0,15.0,10.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,38.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
43.0,2.0,147510.0,9.0,13.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
49.0,5.0,247043.0,15.0,10.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
37.0,2.0,186191.0,11.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,46.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
18.0,2.0,170627.0,1.0,7.0,4.0,7.0,3.0,0.0,1.0,0.0,0.0,15.0,38.0,,inf
22.0,2.0,314525.0,9.0,13.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
35.0,2.0,276153.0,9.0,13.0,4.0,12.0,1.0,1.0,1.0,4650.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
35.0,1.0,203883.0,15.0,10.0,0.0,12.0,4.0,0.0,1.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
32.0,2.0,41210.0,11.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
30.0,5.0,190385.0,15.0,10.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,37.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
31.0,2.0,363130.0,11.0,9.0,4.0,7.0,4.0,1.0,0.0,0.0,0.0,18.0,38.0,"['capital-gain: 8493.0', 'hours-per-week: 3.0', 'educational-num: 0.0']",0.039
